PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,COUNTY
CA-W-3055,"ROBERT CRAIG WINERY, L.P.",,2475 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-15080,"ROBERT FOLEY, LLC",ROBERT FOLEY VINEYARDS,1300 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-16756,"SCHRADER CELLARS, LLC",SCHRADER CELLARS,2075 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-15906,"SEAVER VINEYARDS, LLC",SEAVER VINEYARDS,2075 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-20342,SPENCE VINEYARDS LLC,SPENCE VINEYARDS,994 WHITE COTTAGE RD N,ANGWIN,CA,94508,NAPA
CA-W-15205,"STONEWRITER, LLC",,1976 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-15578,"SUMMIT LAKE VINEYARDS & WINERY, LLC",SUMMIT LAKE VINEYARDS,2000 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-22387,TESSERON VINEYARDS,,2610 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-23268,TOURELLE LLC,OUTPOST WINES,2075 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-21611,"TRAVAIL ESTATE, LLC",TRAVAIL ESTATE,2075 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-23950,"VIDA VALIENTE WINERY, LLC",VIDA VALIENTE WINERY,335 WEST LN,ANGWIN,CA,94508,NAPA
CA-W-16149,"VILLA ENCINAL PARTNERS, L.P.",CADE WINERY,360 HOWELL MOUNTAIN RD,ANGWIN,CA,94508,NAPA
CA-W-22420,"VILLA ENCINAL PARTNERS, L.P.",,150 WHITE COTTAGE RD S,ANGWIN,CA,94508,NAPA
CA-W-22181,MAITRE DE CHAI LLC,MAITRE DE CHAI,2323 B 4TH ST,BERKELY,CA,94710,NAPA
CA-W-21651,"ECLIPSE ASSETS, LLC",HINDSIGHT VINEYARDS,2383 MORA AVE,CALISTGOA,CA,94515,NAPA
CA-W-22429,1510 LIQUOR LLC,,1510 DIAMOND MOUNTAIN RD,CALISTOGA,CA,94515,NAPA
CA-W-22287,1520 LIQUOR LLC,,1520 DIAMOND MOUNTAIN RD,CALISTOGA,CA,94515,NAPA
CA-W-20529,"2880 WINES, LLC",,2880 FOOTHILL BLVD,CALISTOGA,CA,94515,NAPA
CA-W-20393,"AMICI CELLARS, INC.",AMICI,3130 OLD LAWLEY TOLL RD,CALISTOGA,CA,94515,NAPA
CA-W-15265,ANA MARIA BECKER & GILBERT SCOTT BECKER,BOODEAUX VINEYARDS,1111 BERRY ST,CALISTOGA,CA,94515,NAPA
CA-W-21411,"ARROYO WINERY, LLC",,2280 GREENWOOD AVE,CALISTOGA,CA,94515,NAPA
CA-W-21344,"ARTISAN WINES OF CALIFORNIA, LLC",ARTISAN WINES OF CALIFORNIA,1391 TUCKER RD,CALISTOGA,CA,94515,NAPA
CA-W-2967,AUBERT WINEGROWING INCORPORATED,AUBERT WINES,333 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-16603,"BARLOW VINEYARDS, LLC",BARLOW VINEYARDS,4550 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-3463,BENNETT LANE WINERY LLC,BENNETT LANE WINERY,3340 HIGHWAY 128,CALISTOGA,CA,94515,NAPA
CA-W-23624,BILLY D EXPERIENCE LLC,,1471 1ST ST,CALISTOGA,CA,94515,NAPA
CA-W-22460,BOARS' VIEW LLC,BOARS' VIEW,1251 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-16424,"BRAGG VINEYARDS, LLC",BRAGG VINEYARDS,2020 CEDAR ST,CALISTOGA,CA,94515,NAPA
CA-W-21869,"BRIAN ARDEN WINES HOLDINGS, INC.",BRIAN ARDEN WINES,331 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-16516,BROOKS AND DOHERTY LLC,,1715 N OAK ST,CALISTOGA,CA,94515,NAPA
CA-W-16845,"BRYAN HENRY, RICHARD HENRY & MICHAEL TRUJILLO",KARL LAWRENCE CELLARS,3718 N. SAINT HELENA HWY,CALISTOGA,CA,94515,NAPA
CA-W-15093,"C. BECK, LLC",C. BECK WINERY,2424 JANIS WAY,CALISTOGA,CA,94515,NAPA
CA-W-16660,"CANARD VINEYARDS, LLC",CANARD VINEYARDS,4550 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-24007,"CANARD VINEYARDS, LLC",CANARD VINEYARD,1016 DUNAWEAL LN,CALISTOGA,CA,94515,NAPA
CA-W-23275,CASTELLUCCI NAPA VALLEY LLC,CASTELLUCCI NAPA VALLEY,4455 ST HELENA HWY N,CALISTOGA,CA,94515,NAPA
CA-W-15348,"CEDERQUIST WINE COMPANY, LLC",CEDERQUIST WINE COMPANY,5136 SHARP RD,CALISTOGA,CA,94515,NAPA
CA-W-1897,CHARLES LELAND JOHNSTON III,HELENA VIEW JOHNSTON VINEYARDS WINERY,3500 STATE HIGHWAY 128,CALISTOGA,CA,94515,NAPA
CA-W-15661,"CHECKERBOARD VINEYARDS, LLC",CHECKERBOARD VINEYARDS,4331 AZALEA SPRINGS WAY,CALISTOGA,CA,94515,NAPA
CA-W-22870,CRAIG S. HANDLY,TERROIR NAPA VALLEY,4550 N SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-15315,"D-CUBED CELLARS, INC.",D-CUBED CELLARS,1091 LARKMEAD LN,CALISTOGA,CA,94515,NAPA
CA-W-21347,"DAILY CELLARS, LLC",,4550 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-21702,DAVIS ESTATES LLC,DAVIS ESTATES,4060 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-2016,DIAMOND MOUNTAIN VINEYARD,,2121 DIAMOND MOUNTAIN RD,CALISTOGA,CA,94515,NAPA
CA-W-23683,"DIAMOND MOUNTAIN VINEYARD COMPANY, INC.",DIAMOND CREEK VINEYARDS,1500 DIAMOND MOUNTAIN RD,CALISTOGA,CA,94515,NAPA
CA-W-22775,"DONGYI INTERNATIONAL, LLC",CONSTANT DIAMOND MOUNTAIN VINEYARD,2121 DIAMOND MOUNTAIN RD,CALISTOGA,CA,94515,NAPA
CA-W-23953,DOUBLEPLUS WINE COMPANY LLC,DOUBLEPLUS WINE CO,3718 ST HELENA HWY,CALISTOGA,CA,94515,NAPA
CA-W-23619,E. & J. GALLO WINERY,PAHLMEYER,1111 DUNAWEAL LN,CALISTOGA,CA,94515,NAPA
CA-W-22898,"ENCROACHMENT WINES, LLC",,4708 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-15908,"ENVY WINES, LLC",ENVY WINES,1170 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-22102,"FAIRWINDS ESTATE, LLC",FAIRWINDS ESTATE,4550 SILVERADO TRL N,CALISTOGA,CA,94515,NAPA
CA-W-23381,FISHER VINEYARDS,FISHER VINEYARDS,4771 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-23111,"FLINT KNOLL, LLC",FLINT KNOLL WINERY,1251 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-2649,"FRANK FAMILY VINEYARDS, LLC",FRANK FAMILY VINEYARDS,1091 LARKMEAD LN,CALISTOGA,CA,94515,NAPA
CA-W-23444,"FRIAS FAMILY VINEYARD, INC.",FRIAS FAMILY VINEYARD,4550 SILVERADO TRAIL N,CALISTOGA,CA,94515,NAPA
CA-W-16280,"FULTON FAMILY WINERY, INC",,263 PETRIFIED FOREST RD,CALISTOGA,CA,94515,NAPA
CA-W-22744,GAMLING & MC DUCK INC,,331 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-22961,GIRARD WINERY LLC,GIRARD WINERY,1077 DUNAWEAL LN,CALISTOGA,CA,94515,NAPA
CA-W-23666,"HERITANCE VINTNERS, LLC",,3718 N SAINT HELENA HWY,CALISTOGA,CA,94515,NAPA
CA-W-23886,HISTORIC VINES LLC,,3106 PALISADES RD,CALISTOGA,CA,94515,NAPA
CA-W-21528,"HOBEL WINES, LLC",HOBEL,1251 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-22669,"HOUDINI, INC.",,4550 N SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-16574,"HOURGLASS WINE COMPANY, INC.",HOURGLASS WINE COMPANY,817 LOMMEL RD,CALISTOGA,CA,94515,NAPA
CA-W-23414,"HTBE WINES, LLC",HTBE WINES,331 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-17265,"HUDSON WINE COMPANY, LLC",SCARLETT WINES,1170 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-17386,"J. CELLARS INVESTMENTS, LLC",JOSEPH CELLARS,4455 ST. HELENA HWY,CALISTOGA,CA,94515,NAPA
CA-W-21210,J3 WINE PARTNERS LLC,TANK GARAGE WINERY,1020 FOOTHILL BLVD STE C,CALISTOGA,CA,94515,NAPA
CA-W-16488,"JACKSON FAMILY WINES, INC.",SPIRE COLLECTION,3299 BENNETT LN,CALISTOGA,CA,94515,NAPA
CA-W-21617,"JAX VINEYARDS, LLC",,4708 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-15261,JEFFREY SCOTT SMITH,DUSINBERRE,1111 BERRY ST,CALISTOGA,CA,94515,NAPA
CA-W-3329,JERICHO CANYON VINEYARDS LLC.,JERICHO CANYON VINEYARDS,3292 OLD LAWLEY TOLL RD,CALISTOGA,CA,94515,NAPA
CA-W-2258,"JONES FAMILY WINERY, LLC",JONES FAMILY WINERY,1251 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-21864,KAISER FAMILY WINERY INC,,2280 GREENWOOD AVE,CALISTOGA,CA,94515,NAPA
CA-W-17060,"KENEFICK RANCHES WINERY, LLC","KENEFICK RANCHES, LLC",4550 SILVERADO TRAIL,CALISTOGA,CA,94515,NAPA
CA-W-21392,KERWIN ESTATE LLC,EISELE VINEYARD ESTATE,2155 PICKETT RD,CALISTOGA,CA,94515,NAPA
CA-W-20050,"KRILL FAMILY VINEYARDS, LLC",KRILL FAMILY VINEYARDS,3718 N ST HELENA HWY,CALISTOGA,CA,94515,NAPA
CA-W-23531,"LADERA WINERY, LLC",LADERA WINERY,3942 SILVERADO TRL N,CALISTOGA,CA,94515,NAPA
CA-W-15556,"LAMBORN FAMILY WINE COMPANY, LP","LFWC MANAGEMENT, INC. GENERAL PARTNER",4455 N ST HELENA HWY,CALISTOGA,CA,94515,NAPA
CA-W-15363,LARKMEAD VINEYARDS,,1100 LARKMEAD LN,CALISTOGA,CA,94515,NAPA
CA-W-3212,"LAURA MICHAEL WINES, INC.",LAURA MICHAEL WINES,2250 LAKE COUNTY HWY,CALISTOGA,CA,94515,NAPA
CA-W-20314,"LEGENDARY MERMAID, LP SAME ROPE ENTERPRISES, LLC, GP",LA SIRENA WINES,4455 N ST HELENA HWY,CALISTOGA,CA,94515,NAPA
CA-W-17660,"LEVY & MCCLELLAN, LLC",LEVY & MCCLELLAN,4331 AZALEA SPRINGS WAY,CALISTOGA,CA,94515,NAPA
CA-W-17137,"M.T. BOTTLES, LLC",THE GRADE CELLARS,1251 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-23081,MACAULEY WINE CORPORATION,MACAULEY VINEYARDS,4708 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-17235,MALDONADO WINES LLC,MALDONADO VINEYARDS,3070 OLD LAWLEY TOLL RD,CALISTOGA,CA,94515,NAPA
CA-W-17484,MANUEL & MARIA FRIAS,FRIAS FAMILY VINEYARD,4550 N SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-17087,MASSICAN LLC,MASSICAN,1518 FILMORE ST,CALISTOGA,CA,94515,NAPA
CA-W-16794,MATTHEW ST JOHNS REID & MARTHA LAMAR WEBB,PWR WINES,1311 PINE ST,CALISTOGA,CA,94515,NAPA
CA-W-22422,"MAUREZE FINK WINEGROWERS, LLC",,331 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-16058,MC WINES LLC,MC WINES,1170 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-16129,"MELISSA KELLY WINES, LLC",,3718 ST HELENA HWY,CALISTOGA,CA,94515,NAPA
CA-W-23306,"MIDNIGHT ROSE, LLC",MIDNIGHT ROSE,331 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-22919,"MOJAVE WINES, LLC",,2339 PICKETT RD,CALISTOGA,CA,94515,NAPA
CA-W-16532,NILE B. ZACHERLE & WHITNEY B. FISHER,ZACHERLE,1501 CEDAR ST,CALISTOGA,CA,94515,NAPA
CA-W-1927,OAT HILL CORPORATION,DUTCH HENRY WINERY,4300 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-23410,OGDEN WINE CO LLC,,1251 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-3336,"OLABISI, LLC",OLABISI,1617 CEDAR ST,CALISTOGA,CA,94515,NAPA
CA-W-17146,"OLD VINE WINE PARTNERS, LLC",T-VINE CELLARS,810 FOOTHILL BLVD,CALISTOGA,CA,94515,NAPA
CA-W-20233,"PALISADES WINE COMPANY, LLC",PALISADES WINE COMPANY,3130 OLD LAWLEY TOLL RD,CALISTOGA,CA,94515,NAPA
CA-W-17773,"PAOLETTI ESTATES WINERY, INC.",PAOLETTI WINERY,4501 SILVERADO TRAIL,CALISTOGA,CA,94515,NAPA
CA-W-21579,PAUL NELSON ARDZROONI AND GENEVIEVE ROSE ARDZROONI,WENDLING VINEYARDS,31 TERRACE DR,CALISTOGA,CA,94515,NAPA
CA-W-17392,"PAVITT FAMILY VINEYARDS, LLC",PHIFER PAVITT WINES,4660 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-23644,"PERCHANCE ESTATES, LLC",PERCHANCE ESTATES,1170 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-21075,"PHILLIPS FAMILY FARMING, LLC",VINEHILL RANCH,2339 PICKETT RD,CALISTOGA,CA,94515,NAPA
CA-W-17113,"PICKETT ROAD WINE COMPANY, LLC",PICKETT ROAD WINE COMPANY,2339 PICKETT RD,CALISTOGA,CA,94515,NAPA
CA-W-21687,"PIPER CELLARS, LLC",ROY PIPER WINES,1251 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-16378,"PORTALUPI WINE COMPANY, INC.",PORTALUPI WINE COMPANY,1170 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-23485,"QUIVET CELLARS, LLC",QUIVET CELLARS,1170 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-1124,RALPH E. WERMUTH,WERMUTH WINERY,3942 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-24078,RICHARD M. STELTZNER,STELTZNER VINEYARDS,1251 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-23151,"RICHARD S. GOETZ & COMPANY, INC.",RANCHO COYOTE VINEYARDS & WINERY,1251 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-16350,"RIOS WINE COMPANY, LLC",RIOS WINE COMPANY,3070 OLD LAWLEY TOLL RD,CALISTOGA,CA,94515,NAPA
CA-W-15737,"RISA WINES, LLC",TERISA,1618 CEDAR ST,CALISTOGA,CA,94515,NAPA
CA-W-23636,"RIVERS-MARIE WINES, LLC",RIVERS-MARIE WINES,900 FOOTHILL BLVD,CALISTOGA,CA,94515,NAPA
CA-W-303,SCHRAMSBERG VINEYARDS COMPANY,J DAVIES,1400 SCHRAMSBERG RD,CALISTOGA,CA,94515,NAPA
CA-W-22253,"SENS3S, LLC",,1251 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-22150,"SEPIA WINES, LLC",,817 LOMMEL RD,CALISTOGA,CA,94515,NAPA
CA-W-22750,"SHIBUMI KNOLL VINEYARDS, LLC",,1251 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-15140,SHYPOKE VINEYARD LLC,,2882 FOOTHILL BLVD,CALISTOGA,CA,94515,NAPA
CA-W-22728,"SILVER OAK WINE CELLARS, LLC",SILVER OAK WINE CELLARS,1183 DUNAWEAL LN,CALISTOGA,CA,94515,NAPA
CA-W-23716,"SILVER ROSE WINERY OPERATOR, LLC",ELUSA WINERY,400 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-21961,STANDING JOURNEY LLC,CHATEAU MONTELENA,1429 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-2406,"STORYBOOK MOUNTAIN WINERY, INC.",,3835 STATE HIGHWAY 128,CALISTOGA,CA,94515,NAPA
CA-W-16946,"TAMBER BEY VINEYARDS, LLC",TAMBER BEY VINEYARDS,1251 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-22213,TEALE CREEK ASSOCIATES,VON STRASSER WINERY,965 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-15275,"TEDESCHI COMPANY, LLC",TEDESCHI FAMILY WINERY,2779 GRANT ST,CALISTOGA,CA,94515,NAPA
CA-W-3008,TFT #5 LTD.,TEACHWORTH WINERY,4451 ST. HELENA HWY,CALISTOGA,CA,94515,NAPA
CA-W-22746,"THE SETTING WINES, LLC",THE SETTING WINES,1170 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-15037,"THE WINE GARAGE, INC.",WINE GARAGE,1020 UNIT C FOOTHILL BLVD,CALISTOGA,CA,94515,NAPA
CA-W-21917,THEOREM VINEYARDS LLC,THEOREM VINEYARDS,255 PETRIFIED FOREST RD,CALISTOGA,CA,94515,NAPA
CA-W-21688,"TOM EDDY WINERY, LLC",TOM EDDY WINERY,3870 HIGHWAY 128,CALISTOGA,CA,94515,NAPA
CA-W-22290,TREASURY WINE ESTATES AMERICAS COMPANY,STERLING VINEYARDS,1111 DUNAWEAL LN,CALISTOGA,CA,94515,NAPA
CA-W-21928,"TRESPASS VINEYARDS, INC.",,4708 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-22992,"TRIO CELLARS, LLC",MYRIAD CELLARS,1170 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-22044,TROTTER 1/16 WINERY LLC,,1103 MITZI DR,CALISTOGA,CA,94515,NAPA
CA-W-20265,VALLEY FLOOR VINEYARD LLC,VALLEY FLOOR VINEYARD,4550 SILVERADO TRAIL,CALISTOGA,CA,94515,NAPA
CA-W-16538,"VENGE VINEYARDS, INC.",VENGE VINEYARDS,4708 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-16759,VERMEIL WINE GROUP LLC,VERMEIL WINE GROUP,1251 TUBBS LN,CALISTOGA,CA,94515,NAPA
CA-W-16691,VERSANT VINEYARDS INC.,VERSANT VINEYARDS,3292 OLD LAWLEY TOLL RD,CALISTOGA,CA,94515,NAPA
CA-W-3393,"VILLA AMOROSA, INC.",CASTELLO DI AMOROSA,4045 SAINT HELENA HWY,CALISTOGA,CA,94515,NAPA
CA-W-2955,VINCENT ALAN TOFANELLI,TOFANELLI WINES,1212 PINE ST,CALISTOGA,CA,94515,NAPA
CA-W-1816,"VINCENT ARROYO WINERY, INC.",,2361 GREENWOOD AVE,CALISTOGA,CA,94515,NAPA
CA-W-21472,"VINTAGE WINE ESTATES, INC.",CLOS PEGASE WINERY,1060 DUNAWEAL LN,CALISTOGA,CA,94515,NAPA
CA-W-16959,"W.G. BEST WEINKELLEREI, INC.",MONTESQUIEU WINERY,4550 SILVERADO TRL,CALISTOGA,CA,94515,NAPA
CA-W-21872,W.J. DEUTSCH & SONS LTD.,DEUTSCH FAMILY WINE & SPIRITS,1077 DUNAWEAL LN,CALISTOGA,CA,94515,NAPA
CA-W-22015,"WILD DIAMOND VINEYARDS, LLC",MOON TEARS,4455 ST. HELENA HWY,CALISTOGA,CA,94515,NAPA
CA-W-23816,INTENTUS FINE WINES LLC,,1120 DEER PARK RD,DEER PARK,CA,94559,NAPA
CA-W-23897,SHANGRI-LA WINE COMPANY LLC,,1120 DEER PARK RD,DEER PARK,CA,94576,NAPA
