PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,COUNTY
CA-W-17076,RED VELVET LLC,THE WINE ARTIST,21064 BAKE PKWY STE 100,LAKE FOREST,CA,92630,ORANGE
CA-W-17156,"SEAL BEACH WINERY& BREWERY, LLC",SEAL BEACH WINERY,3387 CERRITOS AVE,LOS ALAMITOS,CA,90720,ORANGE
CA-W-2818,"NEWPORT BEACH VINEYARDS & WINERY, LLC",NEWPORT BEACH VINEYARDS & WINERY,2128 MESA DR,NEWPORT BEACH,CA,92660,ORANGE
CA-W-22893,FRANSON FAMILY WINERY LLC,RANCHO CAPISTRANO WINERY,921 CALLE AMANECER UNIT G,SAN CLEMENTE,CA,92673,ORANGE
CA-W-22228,"PEPPERTREE CANYON FARM, THE MICHAEL N. JENNINGS LIVING TRUST AND THE LYNN M. HESS LIVING TRUST",,9902 RANGEVIEW DR,SANTA ANA,CA,92705,ORANGE
CA-W-16220,"GIRACCI VINEYARDS & FARMS, INC.",GIRACCI VINEYARDS & FARMS,16162 JACKSON RANCH RD,SILVERADO,CA,92676,ORANGE
CA-W-15044,"STEWARTS VINEYARDS, LLC",STEWARTS' VINEYARD,5798 GRANDVIEW AVE,YORBA LINDA,CA,92886,ORANGE
CA-W-17067,JPH CUSTOM WINERY INC,WINERY AT MAIN STREET,4861 MAIN ST,YORBA LINDA,CA,92886,ORANGE
CA-W-23923,"SURF CITY STILL WORKS, LLC",SURF CITY STILL WORKS,16561 GEMINI LN,HUNTINGTON BEACH,CA,92647,ORANGE COUNTY
CA-W-22124,"BELLANTE WINE COMPANY, INC.",,25327 AVENUE STANFORD STE 105,SANTA CLARITA,CA,91355,ORANGE COUNTY
CA-W-22540,"SUTTER HOME WINERY, INC.",,8998 N RIVER RD,PASO ROBLES,CA,93446,PASO ROBLES
CA-W-23256,HIGHNOTE ENTERTAINMENT LLC,HIGHNOTE WINERY,2850 RANCHITA CANYON RD,SAN MIGUEL,CA,93451,PASO ROBLES
CA-W-21736,TIMOTHY HAROLD CALVERT,LEE RANCH CIDER COMPANY,432 LEE RD,ALTA,CA,95701,PLACER
CA-W-21828,STACY WILLIAMS,WILLIAMS BRIDGE VINEYARD,8010 MOUNT VERON RD,AUBURN,CA,95603,PLACER
CA-W-16702,TERMINAL VELOCITY INC,PRUETT VINEYARD,2955 SLADE RIDGE RD,AUBURN,CA,95603,PLACER
CA-W-21612,"MERAKI BREWING COMPANY, LLC",MERAKI CIDER HOUSE,12410 HOMESTEAD WAY,AUBURN,CA,95603,PLACER
CA-W-17443,BONITATA BOUTIQUE WINE CORPORATION,BONITATA BOUTIQUE WINE,291 AUBURN FOLSOM RD,AUBURN,CA,95603,PLACER
CA-W-17324,ZANE RAY DOBSON AND PAMELA JEAN DOBSON,PAZA VINEYARD & WINERY,3357 AYRES HOLMES RD,AUBURN,CA,95602,PLACER
CA-W-15965,"LONE BUFFALO VINEYARDS, LLC",LONE BUFFALO VINEYARDS,7505 WISE RD,AUBURN,CA,95603,PLACER
CA-W-16218,LYNDA LEE TAYLOR,MT. VERNON WINERY,10850 MOUNT VERNON RD,AUBURN,CA,95603,PLACER
CA-W-15087,"VINA CASTELLANO, LLC",VINA CASTELLANO,4590 BELL RD,AUBURN,CA,95602,PLACER
CA-W-15081,"FAWNRIDGE WINERY, INC.",FAWNRIDGE WINERY,5560 FAWNRIDGE RD,AUBURN,CA,95602,PLACER
CA-W-21982,COMMON CIDER COMPANY,COMMON CIDER COMPANY,"12856 EARHART AVE. STE 101, 103 & 104",AUBURN,CA,95602,PLACER
CA-W-16343,"IRON MOUNTAIN VINEYARDS, LLC",,986 S CANYON WAY,COLFAX,CA,95713,PLACER
CA-W-22217,LORETTA MCCORMICK,FOREST HILL WINERY,21745 FORESTHILL RD,FORESTHILL,CA,95631,PLACER
CA-W-23487,TWIN ROCKS ESTATE VINEYARDS AND WINERY INC,TWIN ROCKS ESTATE WINERY,6805 CAVITT STALLMAN RD,GRANITE BAY,CA,95746,PLACER
CA-W-23251,"DOMAINE FOURNIER WINERY & VINEYARDS, LLC",,4525 REMUDA CT,GRANITE BAY,CA,95746,PLACER
CA-W-16844,"WISE VILLA WINERY, LLC",,4200 WISE RD,LINCOLN,CA,95648,PLACER
CA-W-24000,MITCH & JULIE CORBETT,SMOKIN' BARREL WINERY,3700 WISE RD,LINCOLN,CA,95648,PLACER
CA-W-17686,LINDEMANN WINERY LLC,LINDEMANN WINERY,6024 PRAIRIE WAY,LINCOLN,CA,95648,PLACER
CA-W-16800,JOE CIOTTI,CIOTTI CELLARS,3285 CROSBY HEROLD RD,LINCOLN,CA,95648,PLACER
CA-W-3522,RANCHO ROBLE VINEYARDS LLC,RANCHO ROBLE VINEYARDS & WINERY,340 FLEMING RD,LINCOLN,CA,95648,PLACER
CA-W-23277,DORA DAIN WINES,DORA DAIN WINES,2560 CROSBY HEROLD RD,LINCOLN,CA,95648,PLACER
CA-W-22613,STEPHENS RANCH LLC,DUELING DOGS BREWING COMPANY,3030 BARRETT PARK LN,LINCOLN,CA,95648,PLACER
CA-W-22866,"RANCHO ROBLES WINERY, LLC",RANCHO ROBLE VINEYARDS,340 FLEMING RD,LINCOLN,CA,95648,PLACER
CA-W-17053,MICHAEL THOMAS DUARTE,DUARTE FAMILY VINEYARDS,5860 LAIRD RD,LOOMIS,CA,95650,PLACER
CA-W-23744,"HILL TOP OAKS, LLC",HILL TOP OAKS WINERY,4150 RIDGE DR,LOOMIS,CA,95650,PLACER
CA-W-17361,"CASQUE WINES, LLC",CASQUE WINES,3273 SWETZER RD,LOOMIS,CA,95650,PLACER
CA-W-16477,DAVID DANIEL BROCKMAN,CRISTALDI VINEYARDS,4060 RIDGE DR,LOOMIS,CA,95650,PLACER
CA-W-15294,"BRUNO CELLARS, LLC",BRUNO CELLARS,5676 RIDGE PARK DR,LOOMIS,CA,95650,PLACER
CA-W-2841,"SECRET RAVINE VINEYARDS, LLC",SECRET RAVINE VINEYARDS,4390 GOLD TRAIL WAY,LOOMIS,CA,95650,PLACER
CA-W-20386,"DUPONT INVESTMENTS, LLC",ROCK HILL WINERY,2970 DELMAR AVE,LOOMIS,CA,95650,PLACER
CA-W-21025,"BEAR RIVER WINERY, LLC",BEAR RIVER WINERY,2751 COMBIE RD,MEADOW VISTA,CA,95722,PLACER
CA-W-2912,DAVID C. WEGNER,PESCATORE VINEYARD & WINERY,7055 RIDGE RD,NEWCASTLE,CA,95658,PLACER
CA-W-16253,DONO DAL CIELO VINEYARD LLC,DONO DAL CIELO VINEYARD,6100 WISE RD,NEWCASTLE,CA,95658,PLACER
CA-W-3184,OPHIR WINES LLC,OPHIR WINES,8030 WOODMAN LN,NEWCASTLE,CA,95658,PLACER
CA-W-23612,RICHARD BRIAN KENNEDY,CASA LOMA WINES,2338 MANDARIN HILL LN,PENRYN,CA,95663,PLACER
CA-W-16250,MARSHALL E. DAVIS AND CYNTHIA L. D. DAVIS,DAVIS DEAN CELLARS,6121 NORTHERN LIGHTS WAY,ROCKLIN,CA,95765,PLACER
CA-W-21061,PATRICK MICHAEL LYNCH,LYNCH WINES,2333 STAXTON CIR,ROSEVILLE,CA,95747,PLACER
CA-W-23618,JASVIR RANA,,7578 ANDREESSEN RD,SHERIDAN,CA,95681,PLACER
CA-W-15089,"AWESOME OIL, LLC",,46780 HWY 371,AGUANGA,CA,92536,RIVERSIDE
CA-W-17436,ROBERT OLAH,SILVERADO TRAIL WINERY,13419 PLACID HILL DR,CORONA,CA,92883,RIVERSIDE
CA-W-23682,"WILSON CREEK WINERY & VINEYARDS, INC.",WILSON CREEK WINERY & VINEYARDS,12900 EUCLID ST UNIT 110,GARDEN GROVE,CA,92840,RIVERSIDE
CA-W-21258,JAMES NEAL LUNGER AND REBECCA RAMONA ESQUIBEL,LA REBELDE WINERY,530 CRANE ST STE G,LAKE ELSINORE,CA,92530,RIVERSIDE
CA-W-682,"GALLEANO WINERY, INC.",,4231 WINEVILLE AVE,MIRA LOMA,CA,91752,RIVERSIDE
CA-W-16320,LEVECKE CORPORATION,,10810 INLAND AVE,MIRA LOMA,CA,91752,RIVERSIDE
CA-W-22397,"ORANGE COAST WINERY, LLC",LE GRANGE GRILL AND CELLARS,24683 WASHINGTON AVE,MURRIETA,CA,92562,RIVERSIDE
CA-W-2471,PLATEAU VINEYARDS,,20170 SIERRA SOTO RD,MURRIETA,CA,92562,RIVERSIDE
CA-W-22470,"ORANGE COAST WINERY, LLC",WINE RANCH GRILL AND CELLARS,24683 WASHINGTON AVE,MURRIETA,CA,92562,RIVERSIDE
CA-W-21212,"RANCHO ENCINAR, LLC",,38280 VIA MAJORCA,MURRIETA,CA,92562,RIVERSIDE
CA-W-21775,"STOALOS INVESTMENTS GROUP, LLC",STOALOS VINEYARDS,21630 AVENIDA DE ARBOLES,MURRIETA,CA,92562,RIVERSIDE
CA-W-23072,QADROS ENTERPRISES INC.,CANYON CREST WINERY,5225 CANYON CREST DR STE 7A,RIVERSIDE,CA,92507,RIVERSIDE
CA-W-1565,"THORNTON WINERY, INC.",,32575 RANCHO CALIFORNIA RD,TEMECULA,CA,92591,RIVERSIDE
CA-W-16807,"TEMECULA HILLS WINERY AT VILLA DI CALABARO, INC",TEMECULA HILLS WINERY AT VILLA DI CALABARO,41955 MAIN ST,TEMECULA,CA,92590,RIVERSIDE
CA-W-23161,"WEONA WINERY, INC.",SOMERSET WINERY,37338 DE PORTOLA RD,TEMECULA,CA,92592,RIVERSIDE
CA-W-15829,"DOFFO WINES, LLC",,36083 SUMMITVILLE ST,TEMECULA,CA,92592,RIVERSIDE
CA-W-21471,COYOTE CREEK ORCHARDS INC.,COYOTE CREEK ORCHARDS,26690 SKYROCKET DR,TEMECULA,CA,92590,RIVERSIDE
CA-W-2426,"BAILY VINEYARD & WINERY, INC.",,36150 PAUBA RD,TEMECULA,CA,92592,RIVERSIDE
CA-W-21692,LAWRENCE NUNZIO COCO,COCO VINEYARDS,39740 VIA CARMELO,TEMECULA,CA,92592,RIVERSIDE
CA-W-3278,JOHN BRODERSEN,LONGSHADOW RANCH,39847 CALLE CONTENTO,TEMECULA,CA,92591,RIVERSIDE
CA-W-22071,"FAZELI VINEYARDS, LLC",FAZELI CELLARS,37320 DE PORTOLA RD,TEMECULA,CA,92592,RIVERSIDE
CA-W-16567,LEONESSE CELLARS LLC,TEMECULA VALLEY WINERY MANAGEMENT,27495 DIAZ RD,TEMECULA,CA,92590,RIVERSIDE
CA-W-16991,VILLA DI CALABRO,,33490 MADERA DE PLAYA,TEMECULA,CA,92592,RIVERSIDE
CA-W-24029,DIRK CORNELIS UYS,UYS WINES,33605 MADERA DE PLAYA DR,TEMECULA,CA,92592,RIVERSIDE
CA-W-15595,CHAPIN FAMILY VINEYARDS LLC,CHAPIN FAMILY VINEYARDS,36084 SUMMITVILLE ST,TEMECULA,CA,92592,RIVERSIDE
CA-W-23625,"INVESTEUROPA, LLC",EUROPA VILLAGE,41211 VIA EUROPA STE A,TEMECULA,CA,92591,RIVERSIDE
CA-W-16765,FOOTE ENTERPRISES LIMITED LIABILITY COMPANY,FOOT PATH WINERY,36650 GLEN OAKS RD,TEMECULA,CA,92592,RIVERSIDE
CA-W-16268,"LUMIERE WINERY, INC.",LUMIERE WINERY,39555 CALLE CONTENTO,TEMECULA,CA,92591,RIVERSIDE
CA-W-3208,"SOUTH COAST WINERY, INC.",,34843 RANCHO CALIFORNIA RD,TEMECULA,CA,92591,RIVERSIDE
CA-W-15847,"LOUIDAR, L.L.C.",MOUNT PALOMAR WINERY,33820 RANCHO CALIFORNIA RD,TEMECULA,CA,92591,RIVERSIDE
CA-W-22916,"BOTTAIA WINES, LP",BOTTAIA WINERY,35601 RANCHO CALIFORNIA RD,TEMECULA,CA,92591,RIVERSIDE
CA-W-15705,CHRISTINA LESCH-FALIK,KENCO COMPANY,37750 DEPORTOLA RD,TEMECULA,CA,92592,RIVERSIDE
CA-W-15813,LEONESSE CELLARS LLC,LEONESSE CELLARS,38311 DE PORTOLA RD,TEMECULA,CA,92592,RIVERSIDE
CA-W-22331,"PELTZER FAMILY CELLARS, LLC",PELTZER FAMILY CELLARS,40275 CALLE CONTENTO,TEMECULA,CA,92591,RIVERSIDE
CA-W-2969,WIENS CELLARS LLC,,35055 VIA DEL PONTE,TEMECULA,CA,92592,RIVERSIDE
CA-W-15751,SCOTT F. KLINE & COLLEEN KLINE,SC CELLARS,40895 BUCHAREST LN,TEMECULA,CA,92591,RIVERSIDE
CA-W-24042,MIMOSA ROYALE LLC,,34225 RANCHO CALIFORNIA RD,TEMECULA,CA,92591,RIVERSIDE
CA-W-16408,"LORIMAR WINERY, INC.",LORIMAR WINERY,39990 ANZA RD,TEMECULA,CA,92591,RIVERSIDE
CA-W-22478,1968 CELLARS LLC,1968 CELLARS,36435 MUSTANG CIR,TEMECULA,CA,92592,RIVERSIDE
CA-W-22095,"MASIA DE LA VINYA WINERY, LLC",MASIA DE LA VINYA,40230 DE PORTOLA RD,TEMECULA,CA,92592,RIVERSIDE
CA-W-23030,"CALI WINE & VINE, LLC",,27469 COLT CT,TEMECULA,CA,92590,RIVERSIDE
CA-W-22557,AKASH WINERY & VINEYARDS LLC,AKASH VINEYARDS & WINERY,39730 CALLE CONTENTO,TEMECULA,CA,92562,RIVERSIDE
CA-W-22587,"SOCAL SPIRITS, LLC",,44475 CALLE VISTA LEJOS,TEMECULA,CA,92590,RIVERSIDE
CA-W-15521,"CURRY VINEYARDS, LLC",CURRY VINEYARDS,39850 KAPALUA WAY,TEMECULA,CA,92592,RIVERSIDE
CA-W-23396,ULTIMATE WINERY & VINEYARDS LLC,MAURICE CARRIE WINERY,34225 RANCHO CALIFORNIA RD,TEMECULA,CA,92591,RIVERSIDE
CA-W-15436,"BIPLANE ADVENTURES, LLC",VINDEMIA VINEYARDS & WINERY,33133 VISTA DEL MONTE,TEMECULA,CA,92591,RIVERSIDE
CA-W-16322,"OGB PARTNERS, LLC",,35820 RANCHO CALIFORNIA RD,TEMECULA,CA,92591,RIVERSIDE
CA-W-23795,CHO WINES LLC,CHO WINES,27495 DIAZ RD,TEMECULA,CA,92590,RIVERSIDE
CA-W-23478,"TWISTED TENDRIL VINEYARD, LLC",,39820 CALLE CONTENTO,TEMECULA,CA,92591,RIVERSIDE
CA-W-17822,CHURON INN WINERY LLC,CHURON INN WINERY,33233 RANCHO CALIFORNIA RD,TEMECULA,CA,92591,RIVERSIDE
CA-W-20509,"SOLIDAGOFARMS, INC.",MATIN DU BOIS,27495 DIAZ RD,TEMECULA,CA,92590,RIVERSIDE
CA-W-21785,LYTTON VINEYARD & WINERY LP,AVENSOLE WINERY,34567 RANCHO CALIFORNIA RD,TEMECULA,CA,92592,RIVERSIDE
CA-W-22386,"BOXEDWINE.COM, LLC",,41720 CALLE CABRILLO,TEMECULA,CA,92592,RIVERSIDE
CA-W-23088,LE CORTI DEI FARFENSI USA,,35053 RANCHO CALIFORNIA RD,TEMECULA,CA,92591,RIVERSIDE
CA-W-3357,"WINE ROAD VINTNERS, LLC",PONTE WINERY,35053 RANCHO CALIFORNIA RD,TEMECULA,CA,92591,RIVERSIDE
CA-W-20357,GAGNON CELLARS LLC,GAGNON CELLARS,27495 DIAZ RD,TEMECULA,CA,92592,RIVERSIDE
CA-W-2910,"CELEBRATION CELLARS, LLC",MIRAMONTE WINERY,33410 RANCHO CALIFORNIA RD,TEMECULA,CA,92591,RIVERSIDE
CA-W-22813,HART WINERY LLC,HART WINERY,41300 AVENIDA BIONA,TEMECULA,CA,92591,RIVERSIDE
CA-W-16718,"MIDDLE RIDGE, INC.",MIDDLE RIDGE WINERY,27495 DIAZ RD,TEMECULA,CA,92590,RIVERSIDE
CA-W-17097,"TUCALOTA CREEK RANCH, INC.",TUCALOTA CREEK RANCH,27495 DIAZ RD,TEMECULA,CA,92590,RIVERSIDE
CA-W-3029,"WINDY RIDGE, INC.",TEMECULA HILLS WINERY,47200 DE PORTOLA RD,TEMECULA,CA,92592,RIVERSIDE
CA-W-15453,"BRIAR ROSE WINERY, INC.",BOXEDWINE.COM,41720 CALLE CABRILLO,TEMECULA,CA,92592,RIVERSIDE
CA-W-16666,GARY LEE WOODWORTH AND MARLENE NAOMI WOODWORTH,WOODWORTH VINEYARDS,27495 DIAZ RD,TEMECULA,CA,92590,RIVERSIDE
CA-W-17148,"OAK MEADOWS RANCH, INC.",OAK MEADOWS WINERY,27495 DIAZ RD,TEMECULA,CA,92590,RIVERSIDE
CA-W-23031,"INVESTEUROPA, LLC",EUROPA VILLAGE,27469 COLT CT,TEMECULA,CA,92591,RIVERSIDE
CA-W-22108,"PAROW ESTATE VINEYARD & WINERY, LLC",,35010 W SANTA RITA RD,TEMECULA,CA,92592,RIVERSIDE
CA-W-15628,COUGAR VINEYARD AND WINERY,,39870 DEPORTOLA RD,TEMECULA,CA,92592,RIVERSIDE
CA-W-22798,"TRANQUILITY VINEYARDS AND WINERY, LLC",TRANQUIL HEART VINEYARD AND WINERY,27469 COLT CT,TEMECULA,CA,92590,RIVERSIDE
CA-W-15011,"BELLA VISTA WINERY OF TEMECULA, INC.",BELLA VISTA VINEYARD & WINERY,41220 CALLE CONTENTO,TEMECULA,CA,92592,RIVERSIDE
CA-W-2785,"FALKNER WINERY, INC.",,40620 CALLE CONTENTO,TEMECULA,CA,92591,RIVERSIDE
CA-W-20290,"CASA TIENE VISTA VINEYARD,LLC",CASA TIENE VISTA VINEYARD,27495 DIAZ RD,TEMECULA,CA,92590,RIVERSIDE
CA-W-23527,WIENS CELLARS LLC,WIENS BREWING COMPANY,27941 DIAZ RD UNIT A,TEMECULA,CA,92590,RIVERSIDE
CA-W-15035,"WILSON CREEK WINERY & VINEYARDS, INC.",WILSON CREEK WINERY & VINEYARDS,35960 RANCHO CALIFORNIA RD,TEMECULA,CA,92591,RIVERSIDE
CA-W-22730,CHEZ BOUJIE,SWEET OAKS WINE,43240 LOS CORRALITOS RD,TEMECULA,CA,92592,RIVERSIDE
CA-W-23398,CHUBBY CHEEKS MEADERY LLC,CHUBBY CHEEKS MEADERY,42225 REMINGTON AVE STE A-6,TEMECULA,CA,92590,RIVERSIDE
CA-W-20289,SPERANZA WINERY LLC,SPERANZA WINERY,27495 DIAZ RD,TEMECULA,CA,92592,RIVERSIDE
CA-W-16887,"RANCHO VISTA LAS ESTRELLAS, INC.",RAUL RAMIREZ BODEGAS Y VINEDOS,34225 RANCHO CALIFORNIA RD,TEMECULA,CA,92591,RIVERSIDE
CA-W-21932,"SAN AGUSTIN VINEYARDS, LLC",SAN AGUSTIN VINEYARDS,27495 DIAZ RD,TEMECULA,CA,92590,RIVERSIDE
CA-W-17598,"THE SILVERTON PARTNERS, INC.",KEYWAYS VINEYARD AND WINERY,37338 DE PORTOLA RD,TEMECULA,CA,92592,RIVERSIDE
CA-W-15429,"CALLAWAY TEMECULA, LP, PDM-CALLAWAY, LLC, GP",CALLAWAY VINEYARD & WINERY,32720 RANCHO CALIFORNIA RD,TEMECULA,CA,92591,RIVERSIDE
CA-W-21031,"BEL VINO, LLC",BEL VINO WINERY,33515 RANCHO CALIFORNIA RD,TEMECULA,CA,92591,RIVERSIDE
CA-W-15698,"WINDY RIDGE, INC.",OAK MOUNTAIN WINERY,36522 VIA VERDE,TEMECULA,CA,92592,RIVERSIDE
CA-W-21751,"CARTER ESTATE WINERY AND RESORT, LLC",,34450 RANCHO CALIFORNIA RD,TEMECULA,CA,92591,RIVERSIDE
CA-W-23779,MOODY CREEK WINERY LLC,MOODY CREEK WINERY,27495 DIAZ RD,TEMECULA,CA,92590,RIVERSIDE
CA-W-16826,"FAZELI VINEYARDS, LLC",FAZELI VINEYARDS,27495 DIAZ RD,TEMECULA,CA,92590,RIVERSIDE
CA-W-3617,DONALD E. FRANGIPANI & JOANN FRANGIPANI,FRANGIPANI ESTATE WINERY,39750 DE PORTOLA RD,TEMECULA,CA,92592,RIVERSIDE
CA-W-23575,"MONTE VINO VISTA, LLC",,27495 DIAZ RD,TEMECULA,CA,92590,RIVERSIDE
CA-W-17521,"OAK MEADOWS RANCH, INC.",VITAGLIANO VINEYARDS & WINERY,36101 GLENOAKS RD,TEMECULA,CA,92592,RIVERSIDE
CA-W-23639,REFUGE WINERY LLC,REFUGE ESTATES,27469 COLT CT,TEMECULA,CA,92590,RIVERSIDE
CA-W-3246,NICHOLAS P. PALUMBO,PALUMBO FAMILY VINEYARDS & WINERY,40150 BARKSDALE LN,TEMECULA,CA,92592,RIVERSIDE
CA-W-21967,"CREATIVE SPACE INNOVATION, LLC",EMOS ESTATE,27495 DIAZ RD,TEMECULA,CA,92590,RIVERSIDE
CA-W-21632,"OFF THE VINE INTO WINE, LLC",,27495 DIAZ RD,TEMECULA,CA,92590,RIVERSIDE
CA-W-16234,"RENZONI VINEYARDS, INC.",ROBERT RENZONI VINEYARDS,37350 DE PORTOLA RD,TEMECULA,CA,92592,RIVERSIDE
CA-W-20343,SARRON VINEYARDS INC,,27495 DIAZ RD,TEMECULA,CA,92951,RIVERSIDE
CA-W-17115,"DANZA DEL SOL WINERY, INC.",DANZA DEL SOL WINERY,39050 DE PORTOLA RD,TEMECULA,CA,92592,RIVERSIDE
CA-W-23831,"DE PORTOLA ESTATE WINERY, LLC",DE PORTOLA WINERY,37440 DE PORTOLA RD,TEMECULA,CA,92592,RIVERSIDE COUNTY
CA-W-23605,"DE PORTOLA ESTATE WINERY, LLC",DE PORTOLA WINERY,27495 DIAZ RD,TEMECULA,CA,92590,RIVERSIDE COUNTY
CA-W-16279,RONALD D STARR AND GEORGE W JOHNSON,STARR JOHNSON WINES,5417 TREE SIDE DR,CARMICHAEL,CA,95608,SACRAMENTO
CA-W-16475,WRECKLESS BLENDERS LLC,WRECKLESS BLENDERS,6365 PALM DR,CARMICHAEL,CA,95608,SACRAMENTO
CA-W-3046,"MCCONNELL ESTATES WINERY, INC.",MCCONNELL ESTATES WINERY,10686 W STOCKTON BLVD STE A,ELK GROVE,CA,95758,SACRAMENTO
CA-W-22309,JEFFREY ADKINS,ADKINS FAMILY VINEYARD,8980 GRANT LINE RD,ELK GROVE,CA,95624,SACRAMENTO
CA-W-23245,"HARRIS FAMILY ESTATE VINEYARD, LLC",,11045 GRENACHE WAY,ELK GROVE,CA,95624,SACRAMENTO
CA-W-23417,CANDICE & CHRISTOPHER MORA,CHRISTOPHER CELLARS,9654 BRADSHAW RD,ELK GROVE,CA,95624,SACRAMENTO
CA-W-23865,VERKADE ESTATES LLC,VERKADE ESTATES LLC,7250 GRANT LINE RD,ELK GROVE,CA,95624,SACRAMENTO
CA-W-21559,STEPHEN RANDALL VANNATTA,V. BESO VINEYARD,8718 GRANT LINE RD,ELK GROVE,CA,95624,SACRAMENTO
CA-W-23250,MATTHEW PRATT,BRADLEY RANCH WINERY,11070 BRADLEY RANCH RD,ELK GROVE,CA,95624,SACRAMENTO
