PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,COUNTY,Latitude,Longitude
CA-W-17748,"1-800-WINESHOP.COM, INC.",1-800-WINESHOP,1 WINEMASTER WAY,LODI,CA,95240,SAN JOAQUIN,38.1455239,-121.2468089
CA-W-1724,RICHARD S. SPENCER & BARBARA J. SPENCER,ST. AMANT WINERY,1 WINEMASTER WAY 3.3 MLS. E. OF P.O.,WOODBRIDGE,CA,95231,SAN JOAQUIN,38.1455239,-121.2468089
CA-W-23512,CIDER WORKS LLC,CIDER WORKS LLC,1 WINEMASTER WAY STE D,LODI,CA,95240,SAN JOAQUIN COUNTY,38.1455239,-121.2468089
CA-W-23616,"NAKEDWINES.COM, INC.",NAKEDWINES.COM,1 WINEMASTER WAY STE D,LODI,CA,95240,SAN JOAQUIN,38.1455239,-121.2468089
CA-W-23156,WICK VINTNERS LLC,TIPP RAMBLER,1 WINEMASTER WAY STE D,LODI,CA,95240,SAN JOAQUIN,38.1455239,-121.2468089
CA-W-310,WEIBEL INCORPORATED,WEIBEL INCORPORATED,1 WINEMASTER WAY STE D,LODI,CA,95240,SAN JOAQUIN,38.1455239,-121.2468089
CA-W-21903,"BWSC, LLC",WINC,1 WINEMASTER WAY STE D,LODI,CA,95240,SAN JOAQUIN,38.1455239,-121.2468089
CA-W-3394,RAYMOND & ROBIN MERLO,MERLO VINEYARDS,1/2 MI COUNTY ROAD 2 LOWER SOUTHFORK AND,HYAMPOM,CA,96046,TRINITY,40.6173635,-123.4525362
CA-W-15006,JERRY BELLO & PATRICIA BELLO,B & E VINEYARD,10 CRESTON RD,PASO ROBLES,CA,93446,SAN LUIS OBISPO,35.6290507,-120.6830827
CA-W-15377,"POZO VALLEY, LLC",POZO VALLEY,10 E POZO RD,SANTA MARGARITA,CA,93453,SAN LUIS OBISPO,35.3047059,-120.3743329
CA-W-16302,BEAUREGARD VINEYARDS LLC,BEAUREGARD VINEYARDS,10 PINE FLAT RD,SANTA CRUZ,CA,95060,SANTA CRUZ,37.0419683,-122.150278
CA-W-23276,SANTE ARCANGELI FAMILY WINES LLC,SANTE ARCANGELI FAMILY WINES,10 PINE FLAT RD,SANTA CRUZ,CA,95060,SANTA CRUZ,37.0419683,-122.150278
CA-W-22515,"SHELTER DISTILLING, INC.",SHELTER CIDERY,100 CANYON BLVD STE 217,MAMMOTH LAKES,CA,93546,,37.6507919,-118.9854947
CA-W-22182,"ORIT TEJ, LLC",ORIT TEJ,100 CORPORATE PLACE STE G,VALLEJO,CA,94590,,38.0954041,-122.248284
CA-W-16808,"VIAGGIO, INC.",VIAGGIO ESTATE AND WINERY,100 E TADDEI RD,ACAMPO,CA,95220,SAN JOAQUIN,38.1852277,-121.3179732
CA-W-21679,DRAFT WINES LLC,CURVY ROADS KEGGED WINES,100 HORSEWATER LN,HAYFORK,CA,96041,TRINITY,40.5527668,-123.181638
CA-W-23395,"BARBIERI WINE COMPANY, LLC",BARBIERI WINE COMPANY,100 LOS PADRES WAY STE 3,BUELLTON,CA,93427,SAN LUIS OSBISPO,34.625315,-120.185449
CA-W-20220,"FERGUSON CREST, INC.",FERGUSON CREST WINERY,100 LOS PADRES WAY STE 3,BUELLTON,CA,93427,SANTA BARBARA COUNTY,34.625315,-120.185449
CA-W-23679,FREQUENCY WINE COMPANY,FREQUENCY WINE COMPANY,100 LOS PADRES WAY STE 3,BUELLTON,CA,93427,SANTA BARBARA,34.625315,-120.185449
CA-W-23852,DE TROP LLC,KNIFE & BARREL,100 LOS PADRES WAY STE 3,BUELLTON,CA,93427,SANTA BARBARA,34.625315,-120.185449
CA-W-23938,NICOLE N. PALLESEN,STARS & DUST,100 LOS PADRES WAY STE 3,BUELLTON,CA,93427,SANTA BARBARA,34.625315,-120.185449
CA-W-15603,"TENSLEY WINE, INC.",TENSLEY WINE,100 LOS PADRES WAY STE 3,BUELLTON,CA,93427,SANTA BARBARA,34.625315,-120.185449
CA-W-22047,"BARBIERI WINE COMPANY, LLC",BARBIERI WINE COMPANY,100 LOS PADRES WAY STE 7,BUELLTON,CA,93427,SANTA BARBARA COUNTY,34.6256505,-120.1853456
CA-W-22986,LO-FI WINES LLC,LO-FI WINES,100 LOS PADRES WAY STE 7,BUELLTON,CA,93427,SANTA BARBARA,34.6256505,-120.1853456
CA-W-21641,"MARTELLOTTO, INC.",MARTELLOTTO WINE PRODUCTIONS,100 LOS PADRES WAY STE 7,BUELLTON,CA,93427,SANTA BARBARA,34.6256505,-120.1853456
CA-W-16583,"CARINA CELLARS, LLC",CARINA CELLARS,100 LOS PADRES WAY WAY STE 3,BUELLTON,CA,93427,SANTA BARBARA,34.625315,-120.185449
CA-W-21353,"MIOCENE WINE, LLC",NAPA JUNCTION CUSTOM CRUSH,100 NAPA JUNCTION RD,AMERICAN CANYON,CA,94503,NAPA,38.186765,-122.265251
CA-W-22785,REILLY FAMILY VINEYARDS LLC,VEEDER HOUSE,100 NAPA JUNCTION RD,AMERICAN CANYON,CA,94503,,38.186765,-122.265251
CA-W-20293,"WORLD'S END, LLC",WORLD'S END,100 NAPA JUNCTION RD,AMERICAN CANYON,CA,94503,NAPA,38.186765,-122.265251
CA-W-22304,"SHADYBROOK ESTATE, LLC",SHADYBROOK ESTATE WINERY,100 RAPP LN,NAPA,CA,94558,NAPA,38.3088904,-122.2482701
CA-W-21053,"CLOS DE LA TECH, LLC",CLOS DE LA TECH,1000 FERN HOLLOW RD,LA HONDA,CA,94020,SAN MATEO,37.3268014,-122.2475689
CA-W-2039,J. LOHR WINERY CORPORATION,J. LOHR WINERY,1000 LENZEN AVE,SAN JOSE,CA,95126,SANTA CLARA,37.3338334,-121.9127316
CA-W-16543,DUCKHORN WINE COMPANY,DUCKHORN VINEYARDS,1000 LODI LN,SAINT HELENA,CA,94574,NAPA,38.5287802,-122.4904182
CA-W-15569,"CLIF BAR FAMILY WINERY AND FARM, LLC",CLIF FAMILY WINERY,1000 MAIN ST,SAINT HELENA,CA,94574,NAPA,38.5027811,-122.4638407
CA-W-2297,MERRYVALE VINEYARDS LLC,MERRYVALE VINEYARDS,1000 MAIN ST,SAINT HELENA,CA,94574,NAPA,38.5027811,-122.4638407
CA-W-23335,"SKIPSTONE WINES, LLC",SKIPSTONE RANCH,1000 MAIN ST,SAINT HELENA,CA,94574,NAPA,38.5027811,-122.4638407
CA-W-15249,DONALD J. BREMM,MOONSTONE CROSSING,1000 MOONSTONE CROSS RD,TRINIDAD,CA,95570,HUMBOLDT,41.0239149,-124.1063573
CA-W-23079,"REGENERATIVE GIFT, LLC",BARTHOLOMEW ESTATE WINERY,1000 VINEYARD LN,SONOMA,CA,95476,SONOMA,38.3017308,-122.4248061
CA-W-17577,MARY JENNIFER WILSON-SCOTT & JIM SCOTT,NAUGHTY BOY VINEYARDS,10000 GIBSON LN,POTTER VALLEY,CA,95469,MENDOCINO,39.338628,-123.111786
CA-W-17411,A. DEAN CARRELL & SUZANNE ARAGO CARRELL,ROMA'S VINEYARD,100001 LONE TREE RIDGE RD,BOONVILLE,CA,95415,MENDOCINO,39.0571202,-123.3594526
CA-W-16836,KNEZ WINERY CORP,KNEZ WINERY,1001 NELSON RANCH RD,UKIAH,CA,95482,MENDOCINO,39.0451888,-123.1598787
CA-W-16755,MARIO MICHAEL ROSATI AND DANELLE STORM ROSATI,ROSATI FAMILY WINERY,1001 NELSON RANCH RD,UKIAH,CA,95482,MENDOCINO,39.0451888,-123.1598787
CA-W-21371,"TRINITY VALLEY VINEYARDS, LLC",SUN VALLEY VINEYARDS,1001 NELSON RANCH RD,UKIAH,CA,95482,MENDOCINO,39.0451888,-123.1598787
CA-W-24055,"DANI GOLD WINES, LLC","DANI GOLD WINES, LLC",1001 SILVERADO TRAIL S,ST. HELENA,CA,94574,NAPA,38.5054893,-122.4400002
CA-W-15561,WALDORF CONCEPTIONS LLC,THE CRUSH,1001 SILVERADO TRL,SAINT HELENA,CA,94574,NAPA,38.5054893,-122.4400002
CA-W-22861,"THE KNOLLS, LIMITED LIABILITY COMPANY",AUBURN JAMES WINERY LLC,1001 SILVERADO TRL S,SAINT HELENA,CA,94574,NAPA,38.5054893,-122.4400002
CA-W-3527,KAPCSANDY FAMILY LLC,KAPCSANDY FAMILY WINERY,1001 STATE LN,YOUNTVILLE,CA,94599,NAPA,38.4226196,-122.3486162
CA-W-22458,"VINSMITH, LLC",ATSINA CELLARS,1001 WASHINGTON ST,SAN CARLOS,CA,94070,SAN MATEO,37.4980815,-122.2453369
CA-W-21302,ANDREW JAMES WESOLEK,WESOLEK VINEYARD,1001 WASHINGTON ST,SAN CARLOS,CA,94070,SAN MATEO,37.4980815,-122.2453369
CA-W-21215,DAVID AND KIM VANCE,ZOETIC WINES,1001 WASHINGTON ST,SAN CARLOS,CA,94070,SAN MATEO,37.4980815,-122.2453369
CA-W-23851,PAUL BIANE,BIANE BROTHERS,10013 8TH ST STE T,RANCHO CUCAMONGA,CA,91730,SAN BERNARDINO,34.0914276,-117.587539
CA-W-23929,"WINE TRADITIONS, LLC",SAN GIORGIO OF CUCAMONGA WINERY & VINEYARDS,10013 8TH ST UNIT W,RANCHO CUCAMONGA,CA,91730,SAN BERNARDINO,34.0914276,-117.587539
CA-W-15133,"EAGLE RIDGE VINEYARD, LLC",EAGLE RIDGE VINEYARD,10017 TESLA RD,LIVERMORE,CA,94550,ALAMEDA,37.6534478,-121.6723779
CA-W-21956,"OCRW, INC.",THE OLD CREEK RANCH WINERY,10024 OLD CREEK RD,OAK VIEW,CA,93022,,34.3897946,-119.2946079
CA-W-17244,MICHAEL MEAGHER & ANITA MEAGHER,VINO V WINES,10024 OLD CREEK RD,VENTURA,CA,93001,VENTURA,34.3897946,-119.2946079
CA-W-22691,INTERVINE CAPITAL CIENEGA VALLEY LLC,EDEN RIFT VINEYARDS,10034 CIENEGA RD,HOLLISTER,CA,95023,SAN BENITO,36.7476387,-121.391236
CA-W-15467,"BLACKBURN ENTERPRISES, LLC",PIETRA SANTA WINERY,10034 CIENEGA RD,HOLLISTER,CA,95023,SAN BENITO,36.7476387,-121.391236
CA-W-22330,"CRAFTWURX, LLC",NEWTOPIA CYDER,10045 CARROLL CANYON RD STE A,SAN DIEGO,CA,92131,,32.9031638,-117.1108028
CA-W-23834,"JUNESHINE, INC.",JUNESHINE,10051 OLD GROVE RD,SAN DIEGO,CA,92131,SAN DIEGO,32.8985252,-117.1109407
CA-W-15807,JOHN & MARTHA WOODMANSEE,LA BELLE WINERY,10056 ROAD 264,TERRA BELLA,CA,93270,TULARE,35.9732354,-118.9749764
CA-W-22631,"TRUCKEE WINERY, INC.",TRUCKEE RIVER WINERY,10061 S RIVER ST,TRUCKEE,CA,96161,NEVADA,39.3253118,-120.1841673
CA-W-21391,SEQUOIA RANCH WINES LLC,TOPA MOUNTAIN WINERY,10065 OJAI SANTA PAULA RD,OJAI,CA,93023,VENTURA,34.437592,-119.1712067
CA-W-15226,JANET WHEELING AND HENRY COUFOS,COUFOS CELLARS,10065 ROUGH AND READY ROAD,ROUGH AND READY,CA,95975,NEVADA,39.226096,-121.145063
CA-W-20363,THOMAS JOSEPH CASSIDY,MAGNOLIA ESTATE VINEYARDS,1007 MAGNOLIA AVE,RAMONA,CA,92065,,33.0632469,-116.843802
CA-W-764,"FIELD STONE WINERY & VINEYARD, INC.",FIELD STONE WINERY,10075 HIGHWAY 128,HEALDSBURG,CA,95448,SONOMA,38.6392882,-122.774614
CA-W-20176,JUSTIN VINEYARDS & WINERY LLC,LANDMARK VINEYARDS,101 ADOBE CANYON RD,KENWOOD,CA,95452,SONOMA,38.4267299,-122.5561657
CA-W-22315,BANNISTER WINES LLC,BANNISTER WINES,101 GRANT AVE UNIT F & G,HEALDSBURG,CA,95448,SONOMA,38.5978578,-122.8531789
CA-W-3640,CAL VIN ENTERPRISES CORPORATION,OPTIMA WINERY,101 GRANT AVE UNIT F & G,HEALDSBURG,CA,95448,SONOMA,38.5978578,-122.8531789
CA-W-16553,SHIPPEY VINEYARDS LLC,SHIPPEY VINEYARDS,101 GRANT AVE UNIT F & G,HEALDSBURG,CA,95448,SONOMA,38.5978578,-122.8531789
CA-W-22734,"BYMOFO, LLC",SUSIE BYNUM WINES,101 GRANT AVE UNIT F & G,HEALDSBURG,CA,95448,,38.5978578,-122.8531789
CA-W-22414,MANTRA WINE CELLARS,MANTRA WINE CELLARS,101 GRANT AVE UNIT H,HEALDSBURG,CA,95448,SONOMA,38.5978578,-122.8531789
CA-W-3427,LINA CARRO & DONALD WATTENBARGER,VIOLET-GREEN WINERY,101 MISTY HILL RD,EUREKA,CA,95503,HUMBOLDT,40.7723922,-124.0952449
CA-W-2100,"BENESSERE VINEYARDS, LTD.",BENESSERE VINEYARDS,1010 BIG TREE RD,SAINT HELENA,CA,94574,NAPA,38.552377,-122.506042
CA-W-21101,COMPASS WINDS LLC,COMPASS WINDS,1010 DRY CREEK RD,HEALDSBURG,CA,95448,SONOMA,38.6307663,-122.8915687
CA-W-22225,"AMERICAN VINTNERS, LLC",AMERICAN VINTNERS,1010 INDUSTRIAL WAY,KING CITY,CA,93930,MONTEREY,36.2271892,-121.1122324
CA-W-17645,"ARPENT, LLC",BIRICHINO,1010 INDUSTRIAL WAY,KING CITY,CA,93930,MONTEREY,36.2271892,-121.1122324
CA-W-16892,"FILINI WINE COMPANY, LLC",FILINI WINE GROWERS,1010 INDUSTRIAL WAY,KING CITY,CA,93930,MONTEREY,36.2271892,-121.1122324
CA-W-3222,"MONTEREY WINE COMPANY, LLC",MMONTEREY WINE COMPANY,1010 INDUSTRIAL WAY,KING CITY,CA,93930,MONTEREY,36.2271892,-121.1122324
CA-W-23937,"WARROOM VENTURES, LLC",WARROOM CELLARS,1010 INDUSTRIAL WAY,KING CITY,CA,93930,,36.2271892,-121.1122324
CA-W-21192,WOMEN OF THE VINE LLC,WOMEN OF THE VINE SELECTIONS,1010 INDUSTRIAL WAY,KING CITY,CA,93930,MONTEREY,36.2271892,-121.1122324
CA-W-23847,RUSTIQUE WINES LLC,RUSTIQUE WINES,1010 RIVER RD,SALINAS,CA,93908,MONTEREY,36.5470104,-121.5464016
CA-W-3319,MOHAMED A. KARAH,KARAH ESTATE VINEYARDS,1010 W RAILROAD AVE,COTATI,CA,94931,SONOMA,38.3043652,-122.7072498
CA-W-15866,CARMELA A. & THOMAS C. HOFFMAN,HERITAGE OAK WINERY,10100 E WOODBRIDGE RD,ACAMPO,CA,95220,SAN JOAQUIN,38.1601906,-121.1913352
CA-W-22380,STEPHEN CHARLES BAKER AND ODILE HUQUETTE ROQUES,GRACE VINEYARDS,1011 E PINE ST,LODI,CA,95240,SAN JOAQUIN,38.1347062,-121.2536153
CA-W-21638,LEER VINEYARDS LLC,LEER VINEYARDS,1011 E PINE ST,LODI,CA,95240,SAN JOAQUIN,38.1347062,-121.2536153
CA-W-22364,"LODI CRUSH, INC",LODI CRUSH,1011 E PINE ST,LODI,CA,95240,SAN JOAQUIN,38.1347062,-121.2536153
CA-W-23850,"HOUSTON FAMILY VINEYARDS, LLC",HOUSTON FAMILY VINEYARDS,1013 B ST,HAYWARD,CA,94541,ALAMEDA,37.6729142,-122.0823272
CA-W-2958,"TUDAL WINERY, LLC",TUDAL WINERY,1015 BIG TREE RD,SAINT HELENA,CA,94574,NAPA,38.5487556,-122.5033712
CA-W-16850,RUSSELL D JONES & JOAN A DERYK-JONES,TRUCKEE RIVER WINERY,10151 BROCKWAY RD,TRUCKEE,CA,96161,NEVADA,39.3261042,-120.182791
CA-W-22716,PAUL KERMOYAN,P & V WINERY,10155 DOUGHERTY AVE,MORGAN HILL,CA,95037,SANTA CLARA,37.1764924,-121.7037141
CA-W-24007,"CANARD VINEYARDS, LLC",CANARD VINEYARD,1016 DUNAWEAL LN,CALISTOGA,CA,94515,NAPA,38.5755103,-122.5556796
CA-W-17643,CASSANDRA DURST,DURST WINERY & ESTATE,10173 E ACAMPO RD,ACAMPO,CA,95220,SAN JOAQUIN,38.1978337,-121.1607626
CA-W-23832,NEVADA COUNTY MEAD COMPANY LLC,NEVADA COUNTY MEAD COMPANY,10175 COMMERCIAL AVE,PENN VALLEY,CA,95946,NEVADA,39.2067834,-121.202131
CA-W-15129,"TERREMOTO CELLARS, LLC",TERREMOTO CELLARS,102 HAMILTON DR STE A,NOVATO,CA,94949,MARIN,38.0732971,-122.5385999
CA-W-23717,"BURTECH FAMILY VINEYARD, LLC",BURTECH FAMILY VINEYARD,102 SECOND ST,ENCINITAS,CA,92024,SAN DIEGO,33.0507851,-117.2957714
CA-W-3088,"JOSEPH KIRKWOOD REID, JR.",REID FAMILY VINEYARDS,1020 BORRETTE LN,NAPA,CA,94558,NAPA,38.3133766,-122.3484492
CA-W-21210,J3 WINE PARTNERS LLC,TANK GARAGE WINERY,1020 FOOTHILL BLVD STE C,CALISTOGA,CA,94515,NAPA,38.575234,-122.5796045
CA-W-15037,"THE WINE GARAGE, INC.",WINE GARAGE,1020 UNIT C FOOTHILL BLVD,CALISTOGA,CA,94515,NAPA,38.575234,-122.5796045
CA-W-23608,JOHN ROSS STOREY,STOREY WINE GROUP,10200 SONOMA HIGHWAY HWY,KENWOOD,CA,95452,SONOMA,38.4063036,-122.5419918
CA-W-16682,STEPHEN ASHTON,ASHTON VINEYARDS,10200 SONOMA HWY,KENWOOD,CA,95452,SONOMA,38.4063036,-122.5419918
CA-W-24009,"BORDIGIONI FAMILY WINERY, LLC",BORDIGIONI FAMILY WINERY,10200 SONOMA HWY,KENWOOD,CA,95442,SONOMA,38.4063036,-122.5419918
CA-W-15159,DEERFIELD RANCH WINERY LLC,DEERFIELD RANCH WINERY,10200 SONOMA HWY,KENWOOD,CA,95452,SONOMA,38.4063036,-122.5419918
CA-W-24008,STEVE AND CANDACE SOMMER,DRY CREEK FLOWER CO.,10200 SONOMA HWY,KENWOOD,CA,95442,SONOMA,38.4063036,-122.5419918
CA-W-16910,ARTHUR FICHTENBERG & ASSOCIATES,FICHTENBERG VINEYARDS,10200 SONOMA HWY,KENWOOD,CA,95452,SONOMA,38.4063036,-122.5419918
CA-W-22826,LIFE IS SHORT! LLC,HAND OF GOD WINES,10200 SONOMA HWY,KENWOOD,CA,95452,SONOMA,38.4063036,-122.5419918
CA-W-16372,HAYWOOD WINE COMPANY,HAYWOOD WINERY,10200 SONOMA HWY,KENWOOD,CA,95452,SONOMA,38.4063036,-122.5419918
CA-W-23773,"IDLE CELLARS, LLC",IDLE CELLARS,10200 SONOMA HWY,KENWOOD,CA,95452,SONOMA,38.4063036,-122.5419918
CA-W-15725,MUSCARDINI CELLARS LLC,MUSCARDINI CELLARS,10200 SONOMA HWY,KENWOOD,CA,95452,SONOMA,38.4063036,-122.5419918
CA-W-1852,"SIMON LEVI COMPANY, LTD.",SL CELLARS,10200 SONOMA HWY,KENWOOD,CA,95452,SONOMA,38.4063036,-122.5419918
CA-W-21139,TOPOLOS VINEYARDS LLC,TOPOLOS VINEYARDS,10200 SONOMA HWY,KENWOOD,CA,95452,SONOMA,38.4063036,-122.5419918
CA-W-22997,THE HONEY WINE COMPANY LLC,WANCHA WINES,10200 SONOMA HWY,KENWOOD,CA,95452,SONOMA,38.4063036,-122.5419918
CA-W-23771,SHIFT WINE LLC,WINE SNOB*,10200 SONOMA HWY,KENWOOD,CA,95452,,38.4063036,-122.5419918
CA-W-22755,BOGGS MARKET FARM LLC,TABEAUX CELLARS,10201 TABEAUD RD,JACKSON,CA,95642,AMADOR,38.3495016,-120.6742832
CA-W-22935,JOHN MARTIN ANDERSEN III,ANDERSEN VALLEY,10237 QUAIL CANYON RD,EL CAJON,CA,92021,,32.8650787,-116.8632883
CA-W-17464,WESTFORK CELLARS LLC,WESTFORK CELLARS,10250 EAST RD,REDWOOD VALLEY,CA,95470,MENDOCINO,39.2916555,-123.2064318
CA-W-20161,TREK WINERY LLC,SAVAGE ESTATE,1026 MACHIN AVE,NOVATO,CA,94947,MARIN,38.108706,-122.5687802
CA-W-17590,CONTINENTAL VENTURES GROUP TRUST,REYES WINERY,10262 SIERRA HWY,AGUA DULCE,CA,91390,LOS ANGELES,34.5168751,-118.3142543
CA-W-3503,"GEORGE WINE COMPANY, LLC",GEORGE WINE COMPANY,10295 WESTSIDE RD,HEALDSBURG,CA,95448,SONOMA,38.5023906,-122.8965343
CA-W-16911,JOSEPH JEWELL WINES LLC,JOSEPH JEWELL WINES,10295 WESTSIDE RD,HEALDSBURG,CA,95448,SONOMA,38.5023906,-122.8965343
CA-W-23866,LUSSIER WINE CO LLC,LUSSIER WINE CO,10295 WESTSIDE RD,HEALDSBURG,CA,95448,SONOMA,38.5023906,-122.8965343
CA-W-15257,"MOSHIN VINEYARDS, INC.",MOSHIN VINEYARDS,10295 WESTSIDE RD,HEALDSBURG,CA,95448,SONOMA,38.5023906,-122.8965343
CA-W-22496,ROMIE LLC,OLIVERA WINES,10295 WESTSIDE RD,HEALDSBURG,CA,95448,SONOMA,38.5023906,-122.8965343
CA-W-21256,"OUSTERHOUT WINE, LLC",OUSTERHOUT WINE,10295 WESTSIDE RD,HEALDSBURG,CA,95448,SONOMA,38.5023906,-122.8965343
CA-W-21098,MATHEW HENRY GUSTAFSON,PAUL MATHEW COMPANY,10295 WESTSIDE RD,HEALDSBURG,CA,95448,SONOMA,38.5023906,-122.8965343
CA-W-23965,BENJAMIN BLAKE HEROD,RADICLE WINE CO,10295 WESTSIDE RD,HEALDSBURG,CA,95448,NAPA,38.5023906,-122.8965343
CA-W-22854,WIRTH WINES & CO.,WIRTH WINES & CO.,10295 WESTSIDE RD,HEALDSBURG,CA,95448,SONOMA,38.5023906,-122.8965343
CA-W-22957,ZO WINES LLC,ZO WINES,10295 WESTSIDE RD,HEALDSBURG,CA,95448,SONOMA,38.5023906,-122.8965343
CA-W-3547,"MEADOWOOD ASSOCIATES, LP",MEADOWOOD ASSOCIATES,1030 SILVERADO TRL,SAINT HELENA,CA,94574,NAPA,38.5187848,-122.4618897
CA-W-17480,"FOLEY FAMILY WINES, INC.",CHALK HILL ESTATE WINERY,10300 CHALK HILL RD,HEALDSBURG,CA,95448,SONOMA,38.5681729,-122.7709763
CA-W-22471,"MANZANITA GROVE, LLC",MANZANITA GROVE WINERY,10300 HWY. 12 HWY,KENWOOD,CA,95452,SONOMA,38.4036235,-122.5399643
CA-W-22156,"PROGENY WINERY, LLC",PROGENY WINERY,1032 MOUNT VEEDER RD,NAPA,CA,94558,NAPA,38.335714,-122.370509
CA-W-23630,WAYNE KENNETH BAUER,POTTER VALLEY WINE WORKS,10320 MAIN ST,POTTER VALLEY,CA,95469,MENDOCINO,39.3223642,-123.1065865
CA-W-17705,ANNE HELEN BIANCHI AND RAY ROBERT BIANCHI,BIANCHI ORCHARDS WINERY,10337 HWY 99E,LOS MOLINOS,CA,96055,TEHAMA,40.1549353,-122.1448601
CA-W-21147,"KESSLER-HAAK WINERY, LLC",KESSLER-HAAK,1034 W AVIATION DR,LOMPOC,CA,93436,SANTA BARBARA,34.6626728,-120.4704158
CA-W-16026,"LORING WINE COMPANY, LLC",LORING WINE COMPANY,1034 W AVIATION DR,LOMPOC,CA,93436,SANTA BARBARA,34.6626728,-120.4704158
CA-W-22703,"SAY WHEN, LLC",SAY WHEN,1034 W AVIATION DR,LOMPOC,CA,93436,SANTA BARBARA,34.6626728,-120.4704158
CA-W-16238,"PALI WINE COMPANY, L.P.",PALI WINE COMPANY,1036 W AVIATION DR,LOMPOC,CA,93436,SANTA BARBARA,34.662463,-120.4703168
CA-W-16703,"STONECUSHION, INC.",JEPSON VINEYARD,10400 S HIGHWAY 101,HOPLAND,CA,95449,MENDOCINO,39.0133402,-123.1281669
CA-W-17185,REECE E. CORDI AND TERESA M. CORDI,CORDI WINERY,10401 INGRAM LN,LIVE OAK,CA,95953,SUTTER,39.279294,-121.819456
CA-W-22356,TWISTED HORN LLC,TWISTED HORN,1042 LA MIRADA CT,VISTA,CA,92081,SAN DIEGO,33.1534581,-117.2261817
