PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,COUNTY,Latitude,Longitude,Merge_Name
CA-W-16564,"ADAMVS, LLC",ADAMVS,555 COLLEGE AVE,ANGWIN,CA,94508,NAPA,38.584462,-122.45431,ADAMVS
CA-W-15608,"ADASTRA WINES, INC.",ADASTRA WINES,21684 EIGHTH ST STE 470,SONOMA,CA,95476,SONOMA,38.2595943,-122.4361497,ADASTRA
CA-W-23001,HAWK HILL LLC,ADELAIDE THOMAS WINERY,5325 CORRICK RD,SANTA ROSA,CA,95409,SONOMA,38.4791219,-122.616009,ADELAIDE THOMAS
CA-W-22771,"ADLER-DEUTSCH VINEYARD, LLC",ADLER-DEUTSCH VINEYARD,3524 SILVERADO TRL,ST. HELENA,CA,94574,NAPA,38.5473988,-122.4883611,ADLER-DEUTSCH
CA-W-15336,"BUCKLER FAMILY VINEYARDS, LLC",ADOBE ROAD WINERY,1995 S MCDOWELL BLVD EXT,PETALUMA,CA,94954,SONOMA,38.2303453,-122.5949442,ADOBE ROAD
CA-W-16235,ADRIAN FOG WINERY,ADRIAN FOG WINERY,2064 GRAVENSTEIN HWY,SEBASTOPOL,CA,95472,SONOMA,38.4244389,-122.8481434,ADRIAN FOG
CA-W-23008,ALAN BRENT KENNEDY,ADRON WINES,4889 GRANGE RD,SANTA ROSA,CA,95404,SONOMA,38.3740376,-122.6399273,ADRON
CA-W-22662,"AEQUITAS VINEYARDS, LLC",AEQUITAS VINEYARDS,3125 ST. HELENA HWY,ST. HELENA,CA,94574,NAPA,38.5280744,-122.5025304,AEQUITAS
CA-W-1710,PAUL BRUCE KIMSEY & SALLY P. KIMSEY (GENERAL PARTNERS),AETNA SPRINGS WINE RANCH,7227 POPE VALLEY RD,POPE VALLEY,CA,94567,NAPA,38.6520579,-122.466353,AETNA SPRINGS RANCH
CA-W-17164,"AGHARTA, LLC",AGHARTA WINES,6780 MCKINLEY ST SUITE 155,SEBASTOPOL,CA,95472,SONOMA,38.4036992,-122.8212008,AGHARTA
CA-W-21773,BROWN BAG BEVERAGES LLC,AGRESTIC,9287 TORRS WAY,FORESTVILLE,CA,95436,SONOMA,38.4671202,-122.8785348,AGRESTIC
CA-W-16724,BRUCE H. AND KRASSIMIRA RECTOR,AHH WINERY,13470 MOUND AVE,GLEN ELLEN,CA,95442,SONOMA,38.3660334,-122.5194991,AHH
CA-W-15345,AHNFELDT WINES LLC,AHNFELDT,2064 GRAVENSTEIN HWY BUILDING 2,SEBASTOPOL,CA,95472,SONOMA,38.4244389,-122.8481434,AHNFELDT
CA-W-23141,AILERON RANCH INC,AILERON RANCH,3125 ST HELENA HWY,ST HELENA,CA,94574,NAPA,38.5280744,-122.5025304,AILERON RANCH
CA-W-16978,"ZMARZLY ENTERPRISES, LLC",ALBERTINA WINE CELLARS,4001 HIGHWAY 128,GEYSERVILLE,CA,95441,SONOMA,38.6886052,-122.8489052,ALBERTINA
CA-W-16089,OWEN D. ALBINI,ALBINI FAMILY VINEYARDS,886 JENSEN LN,WINDSOR,CA,95492,SONOMA,38.5473243,-122.7900939,ALBINI
CA-W-21807,"LAGOSTA WINE CO., LLC",ALDENALLI,3358 D COFFEY LN,SANTA ROSA,CA,95403,SONOMA,38.4722735,-122.7431565,ALDENALLI
CA-W-22535,"ALDINA VINEYARDS, LLC",ALDINA VINEYARDS,22985 BURNDALE RD BLDG A & B,SONOMA,CA,95746,SONOMA,38.2453253,-122.4224812,ALDINA
CA-W-17323,CKG PARTNERS LLC,ALDRICH BROWNE,227 TREADWAY DR,CLOVERDALE,CA,95425,SONOMA,38.782865,-123.0149406,ALDRICH BROWNE
CA-W-2446,"A.V.V. WINERY CO., LLC",ALEXANDER VALLEY VINEYARDS,8644 HIGHWAY 128,HEALDSBURG,CA,95448,SONOMA,38.65649,-122.786907,ALEXANDER VALLEY
CA-W-23228,ALEXANDRIE CELLARS LLC,ALEXANDRIE CELLARS,55 ENTERPRISE CT UNIT 5,NAPA,CA,94558,NAPA,38.2608893,-122.2732062,ALEXANDRIE
CA-W-21841,"ALKO RANCH, LLC",ALKO RANCH,1784 POPE CANYON RD,SAINT HELENA,CA,94574,NAPA,38.6039199,-122.4002746,ALKO RANCH
CA-W-3182,TERRY HOWARD KLEIN & NANCY KLEIN,ALLORA VINEYARDS,3244 EHLERS LN,SAINT HELENA,CA,94574,NAPA,38.5355181,-122.4933794,ALLORA
CA-W-22774,MCSCHERK GRAPE HOLDINGS LLC,ALMACERRO,1181 LAS POSADAS RD,ANGWIN,CA,94508,NAPA,38.5482158,-122.4086058,ALMACERRO
CA-W-15584,"ALPHA & OMEGA WINERY, LLC",ALPHA & OMEGA WINERY,1155 MEE LN,RUTHERFORD,CA,94574,NAPA,38.4706119,-122.4291175,ALPHA & OMEGA
CA-W-20237,ALTA WINES LLC,ALTA,2747 NAPA VALLEY CORPORATE DR,NAPA,CA,94558,NAPA,38.248487,-122.275618,ALTA
CA-W-2520,"ALTAMURA WINERY, INC.",ALTAMURA WINERY,1700 WOODEN VALLEY RD,NAPA,CA,94558,NAPA,38.3636333,-122.1747735,ALTAMURA
CA-W-23465,ALTBIER OPERATIONS LLC,ALTBIER OPERATIONS,499 MOORE LN,HEALDSBURG,CA,95448,SONOMA,38.6130395,-122.8765579,ALTBIER OPERATIONS
CA-W-21842,ALYRIS VINEYARDS LIMITED,ALYRIS VINEYARDS,2840 MONTICELLO RD,NAPA,CA,94558,NAPA,38.348291,-122.225512,ALYRIS
CA-W-16258,WRH PARTNERS LLC,ALYSIAN WINES,1337 GROVE ST,HEALDSBURG,CA,95448,SONOMA,38.62762,-122.876263,ALYSIAN
CA-W-21534,ALLAN CHRISTENSEN & KRISTIN METSON,AMAZON RANCH WINERY,3738 LINDA VISTA AVE,NAPA,CA,94558,NAPA,38.3240129,-122.3214029,AMAZON RANCH
CA-W-22109,"AMB WINE CELLARS, LLC",AMB WINE CELLARS,335 WEST LN,ANGWIN,CA,94508,NAPA,38.5635302,-122.4655433,AMB
CA-W-20393,"AMICI CELLARS, INC.",AMICI,3130 OLD LAWLEY TOLL RD,CALISTOGA,CA,94515,NAPA,38.6116286,-122.5924858,AMICI
CA-W-15900,"AMISTA VINEYARDS, INC.",AMISTA VINEYARDS,3320 DRY CREEK RD,HEALDSBURG,CA,95448,SONOMA,38.6515319,-122.9237581,AMISTA
CA-W-3332,AMIZETTA VINEYARDS WINERY LLC,AMIZETTA VINEYARDS WINERY,1099 GREENFIELD RD,SAINT HELENA,CA,94574,NAPA,38.5226499,-122.3815481,AMIZETTA
CA-W-23047,"AMLES WINES, LLC",AMLES WINES,588 ZINFANDEL LN,ST HELENA,CA,94574,NAPA,38.487409,-122.437755,AMLES
CA-W-16286,HUTCHINSON WINES INC.,AMPHORA WINERY,4791 DRY CREEK RD BLDG # 6,HEALDSBURG,CA,95448,SONOMA,38.6740916,-122.9326293,AMPHORA
CA-W-16281,"AMPLIFIED WINES, LLC",AMPLIFIED WINES,3360 COFFEY LN SUITE E,SANTA ROSA,CA,95403,SONOMA,38.4722626,-122.7445677,AMPLIFIED
CA-W-23607,"AMRITA CELLARS, LLC",AMRITA CELLARS,3360 COFFEY LN STE E,SANTA ROSA,CA,95403,SONOMA,38.4722626,-122.7445677,AMRITA
CA-W-15301,AMUSE BOUCHE LLC,AMUSE BOUCHE,2920 SPRING MOUNTAIN RD,SAINT HELENA,CA,94574,NAPA,38.5098404,-122.4952758,AMUSE BOUCHE
CA-W-15558,"SWEAZEY WINERY INVESTMENT, LLC",ANABA WINES,64 BONNEAU RD,SONOMA,CA,95467,SONOMA,38.235894,-122.4637956,ANABA
CA-W-20147,ANANTAAH WINE INCORPORATED,ANANTAAH,5225 SOLANO AVE,NAPA,CA,94558,NAPA,38.3637594,-122.3391379,ANANTAAH
CA-W-15940,"ANCIEN WINES, INC.",ANCIEN,1221 DUHIG RD,NAPA,CA,94559,NAPA,38.2544795,-122.3517923,ANCIEN
CA-W-17242,MELISSA & KENNETH MOHOLT-SIEBERT,ANCIENT OAK CELLARS,2064 GRAVENSTEIN HWY SUITE 120,SEBASTOPOL,CA,95472,SONOMA,38.4233079,-122.8501115,ANCIENT OAK
CA-W-16305,"ANDERS-LANE ARTISAN WINES, L.P.",ANDERS-LANE ARTISAN WINES,5225 SOLANO AVE,NAPA,CA,94558,NAPA,38.3637594,-122.3391379,ANDERS-LANE ARTISAN
CA-W-2236,"AWG, LTD.",ANDRETTI WINERY,4162 BIG RANCH RD,NAPA,CA,94558,NAPA,38.3559075,-122.3051266,ANDRETTI
CA-W-16262,PETER RENWICK THOMPSON,ANDREW GEOFFREY VINEYARD,3104 REDWOOD RD,NAPA,CA,94558,NAPA,38.321289,-122.3435767,ANDREW GEOFFREY
CA-W-22994,ANGRY KIWI WINES CORPORATION,ANGRY KIWI WINES,990 CAVEDALE RD,SONOMA,CA,95476,SONOMA,38.3422063,-122.4772845,ANGRY KIWI
CA-W-22065,"ANIMO, L.P.",ANIMO,3125 N SAINT HELENA HWY,ST. HELENA,CA,94574,NAPA,38.5280744,-122.5025304,ANIMO
CA-W-15904,"ANIMO, L.P.",ANIMO,5330 SILVERADO TRL,NAPA,CA,94558,NAPA,38.3871827,-122.3126118,ANIMO
CA-W-23989,ANNADEL ESTATE WINERY & FLOWERS LLC,ANNADEL ESTATE WINERY,6687 SONOMA HWY,SANTA ROSA,CA,95409,SONOMA,38.4469864,-122.6042959,ANNADEL
CA-W-1456,"BASIL H., BARBARA G., ARON J., & NICHOLAS A. SCALABRINI",ANNAPOLIS WINERY,26055 SODA SPRING RD,ANNAPOLIS,CA,95412,SONOMA,38.7203174,-123.340877,ANNAPOLIS
CA-W-2944,"ANOMALY VINEYARDS, LLC",ANOMALY,455 BELLA VISTA CT,SAINT HELENA,CA,94574,NAPA,38.4895868,-122.4721486,ANOMALY
CA-W-15400,ANTHILL FARMS LLC,ANTHILL FARMS WINERY,4791 DRY CREEK RD,HEALDSBURG,CA,95448,SONOMA,38.6740916,-122.9326293,ANTHILL FARMS
CA-W-23449,"APERTURE CELLARS, LLC",APERTURE CELLARS,12293 OLD REDWOOD HIGHWAY,HEALDSBURG,CA,95448,SONOMA,38.5832312,-122.847611,APERTURE
CA-W-17742,"APOSTROPHE CELLARS, LLC",APOSTROPHE CELLARS,620 TRANCAS ST,NAPA,CA,94558,NAPA,38.3260157,-122.2876543,APOSTROPHE
CA-W-21659,APPELLATION TRADING COMPANY LLC,APPELLATION TRADING COMPANY,55 ENTERPRISE CT STE 5,NAPA,CA,94558,NAPA,38.2608893,-122.2732062,APPELLATION TRADING
CA-W-17183,"SANDY BAY HOLDING COMPANY, LLC",ARATAS WINE,1221 DUHIG RD,NAPA,CA,94559,NAPA,38.2544795,-122.3517923,ARATAS
CA-W-21634,JANET K. HART,ARBOR BENCH VINEYARDS,3358 COFFEY LN STE D,SANTA ROSA,CA,95403,SONOMA,38.4722735,-122.7431565,ARBOR BENCH
CA-W-21224,"ARCUDI WINES, LLC",ARCUDI WINES,2920 SPRING MOUNTAIN RD,ST. HELENA,CA,94574,NAPA,38.5098404,-122.4952758,ARCUDI
CA-W-23733,"ARDURE WINES, LLC",ARDURE WINES,6780 MCKINLEY AVE UNIT 170,SEBASTOPOL,CA,95472,SONOMA,38.403849,-122.8214796,ARDURE
CA-W-17295,DEJAN NIKITOVIC,ARETE WINES,110 CAMINO ORUGA,NAPA,CA,94559,NAPA,38.229228,-122.2557289,ARETE
CA-W-16445,"MIXED NUTS, LLC",ARGOT WINES,3358 COFFEY LN,SANTA ROSA,CA,95403,SONOMA,38.4722735,-122.7431565,ARGOT
CA-W-23706,"ARIETTA, INC.",ARIETTA,5398 CARNEROS HWY,NAPA,CA,94559,NAPA,38.2571478,-122.3601792,ARIETTA
CA-W-21637,"ARISTA WINES, LLC",ARISTA WINES,7011 & 7015 WESTSIDE RD,HEALDSBURG,CA,95448,SONOMA,38.5238014,-122.8700299,ARISTA
CA-W-16476,"ARKENSTONE VINEYARDS, LLC",ARKENSTONE VINEYARDS,335 WEST LN,ANGWIN,CA,94508,NAPA,38.5635302,-122.4655433,ARKENSTONE
CA-W-16217,"ARNOT-ROBERTS, LLC",ARNOT-ROBERTS WINES,33 HEALDSBURG AVE STE I,HEALDSBURG,CA,95448,SONOMA,38.6031532,-122.8640243,ARNOT-ROBERTS
CA-W-1914,HIGHGATE WINE COMPANY,ARNS WINERY,1721 PARTRICK RD,NAPA,CA,94558,NAPA,38.313043,-122.3727841,ARNS
CA-W-22536,"LITTLE CREEK VINEYARD, LLC",ARROW & BRANCH,3125 ST HELENA HWY N,ST HELENA,CA,94574,NAPA,38.5280744,-122.5025304,ARROW & BRANCH
CA-W-22749,ARROWHEAD MOUNTAIN WINERY CORPORATION,ARROWHEAD MOUNTAIN WINERY,3451 AIRWAY DR STE C,SANTA ROSA,CA,95403,SONOMA,38.475462,-122.7385176,ARROWHEAD MOUNTAIN
CA-W-16114,"JACKSON FAMILY WINES, INC.",ARROWOOD WINERY,14347 SONOMA HWY,GLEN ELLEN,CA,95442,SONOMA,38.3587432,-122.5048898,ARROWOOD
CA-W-17415,THE GIRLS IN THE VINEYARD,ART+FARM WINE,110 CAMINO ORUGA,NAPA,CA,94558,NAPA,38.229228,-122.2557289,ART+FARM
CA-W-1786,"CODORNIU NAPA, INC.",ARTESA WINERY,1345 HENRY RD,NAPA,CA,94559,NAPA,38.2753834,-122.3534407,ARTESA
CA-W-21344,"ARTISAN WINES OF CALIFORNIA, LLC",ARTISAN WINES OF CALIFORNIA,1391 TUCKER RD,CALISTOGA,CA,94515,NAPA,38.5564399,-122.5311529,ARTISAN OF CALIFORNIA
CA-W-22624,"NAPA WINERY GROUP, LLC",ASHES & DIAMONDS WINERY,4130 HOWARD LN,NAPA,CA,94558,NAPA,38.3448923,-122.3243479,ASHES & DIAMONDS
CA-W-16682,STEPHEN ASHTON,ASHTON VINEYARDS,10200 SONOMA HWY,KENWOOD,CA,95452,SONOMA,38.4063036,-122.5419918,ASHTON
CA-W-23686,PATRICK J TROVATO III,ASKEW WINERY,1160 HOPPER AVE,SANTA ROSA,CA,95403,SONOMA,38.4787228,-122.7408096,ASKEW
CA-W-17762,E. & J. GALLO WINERY,ASTI WINERY,26150 ASTI RD,ASTI,CA,95425,SONOMA,38.7613212,-122.9753689,ASTI
CA-W-3061,ROBERT HUNTER APPLEBY,ATASCADERO CREEK WINERY,4114 ROSS RD,SEBASTOPOL,CA,95472,SONOMA,38.445556,-122.872717,ATASCADERO CREEK
CA-W-16072,ATHAIR WINES INC.,ATHAIR WINES,1443 SILVERADO TRL,SAINT HELENA,CA,94574,NAPA,38.4939203,-122.4219724,ATHAIR
CA-W-21116,"8TH STREET EAST SONOMA HOLDINGS, WINERY LLC",ATTUNE WINES,21684 E 8TH ST STE 440 & 450,SONOMA,CA,95476,SONOMA,38.291859,-122.4580356,ATTUNE
CA-W-17628,AU SOMMET LLC,AU SOMMET WINERY,2920 SPRING MOUNTAIN RD,SAINT HELENA,CA,94574,NAPA,38.5098404,-122.4952758,AU SOMMET
CA-W-21911,JAMIE M LLC,AUBERGE ROAD,15 CHATEAU LN,NAPA,CA,94558,NAPA,38.3074544,-122.2475085,AUBERGE ROAD
CA-W-2967,AUBERT WINEGROWING INCORPORATED,AUBERT WINES,333 SILVERADO TRL,CALISTOGA,CA,94515,NAPA,38.5820276,-122.5662176,AUBERT
CA-W-22861,"THE KNOLLS, LIMITED LIABILITY COMPANY",AUBURN JAMES WINERY LLC,1001 SILVERADO TRL S,SAINT HELENA,CA,94574,NAPA,38.5054893,-122.4400002,AUBURN JAMES LLC
CA-W-22645,"AUGUR WINE CO, LLC",AUGUR WINE CO.,7763 BELL RD,WINDSOR,CA,95492,SONOMA,38.5369294,-122.8051004,AUGUR
CA-W-20128,"AUGUST BRIGGS JR., INC.",AUGUST BRIGGS WINERY,3358 COFFEY LN UNIT D,SANTA ROSA,CA,95403,SONOMA,38.4722735,-122.7431565,AUGUST BRIGGS
CA-W-15976,AUTEUR WINES LLC,AUTEUR,22020 CARNEROS VINEYARD WAY STE 5,SONOMA,CA,95476,SONOMA,38.2552759,-122.4381754,AUTEUR
CA-W-3391,AUTUMN MOON WINE CELLARS LLC,AUTUMN MOON CELLARS,3310 SCENIC DR,NAPA,CA,94558,NAPA,38.3092046,-122.3304811,AUTUMN MOON
CA-W-16938,"AVENUE WINE COMPANY, LLC",AVENUE WINE COMPANY,3304 SCENIC DR,NAPA,CA,94558,NAPA,38.3087028,-122.3299497,AVENUE
CA-W-21601,STEPHEN TAYLOR JENNINGS,AVEO WINES,"520 CALIFORNIA ST STE 18,19,20",NAPA,CA,94559,NAPA,37.7931383,-122.4033292,AVEO
CA-W-21450,TOULON WINE COMPANY LLC,AVINODOS WINES,901 ENTERPRISE WAY STE B,NAPA,CA,94558,NAPA,38.2586856,-122.2736068,AVINODOS
CA-W-22132,"A W DIRECT, LLC",AWDIRECT,980 AIRWAY CT BLDG 2,SANTA ROSA,CA,95403,SONOMA,38.4743354,-122.7355428,AWDIRECT
CA-W-21301,"AXIOS, INC.",AXIOS WINES,2747 NAPA VALLEY CORPORATE DR,NAPA,CA,94558,NAPA,38.248487,-122.275618,AXIOS
CA-W-16418,THVS CORPORATION,AXR WINERY,3199 ST. HELENA HWY N,ST. HELENA,CA,94574,NAPA,38.5307912,-122.5047642,AXR
CA-W-22196,THVS CORPORATION,AXR WINERY,4105 CHILES POPE VALLEY RD,ST. HELENA,CA,94574,NAPA,38.5579708,-122.3749973,AXR
CA-W-16519,KAMAL YOUSSEFI AZARI AND PARICHEHER AZARI,AZARI WINERY,1399 SPRING HILL RD,PETALUMA,CA,94952,SONOMA,38.2171396,-122.6847132,AZARI
CA-W-15388,"26 BRIX, LLC",B CELLARS,703 OAKVILLE CROSS RD,NAPA,CA,94558,NAPA,38.4492977,-122.373603,B
CA-W-23642,"B WISE VINEYARDS, LLC",B WISE VINEYARDS,392 LONDON WAY,SONOMA,CA,95476,SONOMA,38.3348207,-122.4790432,B WISE
CA-W-15647,"B WISE VINEYARDS, LLC",B WISE VINEYARDS,396 LONDON WAY,SONOMA,CA,95476,SONOMA,38.3298344,-122.4872802,B WISE
CA-W-22099,"VINTAGE WINE ESTATES, INC.",B.R. COHN WINERY,15000 SONOMA HWY,GLEN ELLEN,CA,95442,SONOMA,38.3493329,-122.5016912,B.R. COHN
CA-W-16288,FLOYD-PISONI WINE COMPANY,BACCHANT WINES,607 MARTIN AVE SUITES 102,ROHNERT PARK,CA,94928,SONOMA,38.355069,-122.725947,BACCHANT
CA-W-2634,"BACIO DIVINO CELLARS, LLC",BACIO DIVINO CELLARS,703 OAKVILLE CROSS RD,NAPA,CA,94558,NAPA,38.4492977,-122.373603,BACIO DIVINO
CA-W-23751,"MOUNTAIN VIEW VINTNERS, LLC",BACKSTAGE WINERY,1 EXECUTIVE WAY BLDG 1 AND 2,NAPA,CA,94558,NAPA,38.2239412,-122.2567435,BACKSTAGE
CA-W-22280,MAREK T. LECHOWSKI,BAD RAT RANCH,2064 GRAVENSTEIN HWY,SEBASTOPOL,CA,95472,SONOMA,38.4244389,-122.8481434,BAD RAT RANCH
CA-W-22179,"TBD CELLARS, LLC",BAILARIN CELLARS,11654 LOS AMIGOS RD,HEALDSBURG,CA,95448,SONOMA,38.5785581,-122.8367862,BAILARIN
CA-W-21028,"DIOTA HOLDINGS, L.L.C.",BAILIWICK WINE COMPANY,"21684 EIGHTH ST., E. STE 470",SONOMA,CA,95476,SONOMA,38.2595943,-122.4361497,BAILIWICK
CA-W-15462,"ROADSEND FARM, LLC",BAKER LANE VINEYARDS ON ROADSEND FARM,3358 COFFEY LANE,SANTA ROSA,CA,95403,SONOMA,38.4722735,-122.7431565,BAKER LANE ON ROADSEND FARM
CA-W-2814,"ARCHANGEL INVESTMENTS, LLC",BALDACCI WINERY,6236 SILVERADO TRL,NAPA,CA,94558,NAPA,38.4210224,-122.339625,BALDACCI
CA-W-16933,"BALDWIN WINES, LLC",BALDWIN WINES,2242 NELLIGAN RD,GLEN ELLEN,CA,95442,SONOMA,38.412641,-122.511089,BALDWIN
CA-W-2970,"LAGUNA OAKS VINEYARDS & WINERY, INC.",BALLETTO VINEYARDS,5700 OCCIDENTAL RD,SANTA ROSA,CA,95401,SONOMA,38.4196114,-122.8143559,BALLETTO
CA-W-22315,BANNISTER WINES LLC,BANNISTER WINES,101 GRANT AVE UNIT F & G,HEALDSBURG,CA,95448,SONOMA,38.5978578,-122.8531789,BANNISTER
CA-W-21893,JONATHAN MICHAEL BARBER,BARBER CELLARS,4950 ROSS RD,SEBASTOPOL,CA,95472,SONOMA,38.4550566,-122.8794659,BARBER
CA-W-22171,THOMAS MICHAEL BARDESSONO,BARDESSONO YOUNTVILLE VINEYARDS,2545 NAPA VALLEY CORPORATE DR STE C,NAPA,CA,94558,NAPA,38.2539682,-122.2761996,BARDESSONO YOUNTVILLE
CA-W-16603,"BARLOW VINEYARDS, LLC",BARLOW VINEYARDS,4550 SILVERADO TRL,CALISTOGA,CA,94515,NAPA,38.5754844,-122.5495595,BARLOW
CA-W-21048,"BARNETT VINEYARDS, L.P.",BARNETT VINEYARDS,4070 SPRING MOUNTAIN RD,ST. HELENA,CA,94574,NAPA,38.5259987,-122.559093,BARNETT
CA-W-2787,"BARREL TEN QUARTER CIRCLE, INC.","BARREL TEN QUARTER CIRCLE, INC",33 HARLOW CT,NAPA,CA,94558,NAPA,38.2204456,-122.2715742,"BARREL TEN QUARTER CIRCLE, INC"
CA-W-16150,BARTALOTTI WINE COMPANY,BARTALOTTI WINE COMPANY,901 ENTERPRISE WAY SUITE B,NAPA,CA,94558,NAPA,38.2586856,-122.2736068,BARTALOTTI
